Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angRate
23_02_14 11:25:43.827;0;I;1210;808;2100;4;;86ec893d;0.06734566390514374
23_02_14 11:25:43.830;411;I;1210;808;2100;4;;5b418c3d;0.06848403066396713
23_02_14 11:25:43.977;415;I;1210;808;2100;4;;efe0afbd;-0.08587824553251266
23_02_14 11:25:44.073;419;I;1210;808;2100;4;;ae10b0bd;-0.08596931397914886
23_02_14 11:25:44.197;423;I;1210;808;2100;4;;8304b9bd;-0.09034063667058945
23_02_14 11:25:44.327;427;I;1210;808;2100;4;;ef1ebdbd;-0.09234415739774704
23_02_14 11:25:44.492;431;I;1210;808;2100;4;;5418bcbd;-0.09184327721595764
23_02_14 11:25:44.588;435;I;1210;808;2100;4;;422c6e3d;0.058147676289081573
23_02_14 11:25:44.741;439;I;1210;808;2100;4;;cb5e823d;0.06365736573934555
23_02_14 11:25:44.873;443;I;1210;808;2100;4;;66fc3e3b;0.002914214041084051
23_02_14 11:25:44.974;447;I;1210;808;2100;4;;21adb2bc;-0.021811069920659065
23_02_14 11:25:45.106;451;I;1210;808;2100;4;;66b6663d;0.05632629245519638
23_02_14 11:25:45.240;455;I;1210;808;2100;4;;17a45c3d;0.05386742576956749
23_02_14 11:25:45.363;459;I;1210;808;2100;4;;c48e603d;0.054823651909828186
23_02_14 11:25:45.491;463;I;1210;808;2100;4;;34ea633d;0.05564327538013458
23_02_14 11:25:45.619;467;I;1210;808;2100;4;;5f820bbc;-0.008514969609677792
23_02_14 11:25:45.760;471;I;1210;808;2100;4;;3710c2bd;-0.09475748986005783
23_02_14 11:25:45.883;475;I;1210;808;2100;4;;bd523abd;-0.04548906162381172
23_02_14 11:25:46.007;479;I;1210;808;2100;4;;01a246bd;-0.04849434271454811
23_02_14 11:25:46.138;483;I;1210;808;2100;4;;71b771bb;-0.0036883021239191294
23_02_14 11:25:46.264;487;I;1210;808;2100;4;;665db8bd;-0.09002189338207245
23_02_14 11:25:46.434;491;I;1210;808;2100;4;;28d6823d;0.06388503313064575
23_02_14 11:25:46.532;495;I;1210;808;2100;4;;0c27b7bd;-0.08942994475364685
23_02_14 11:25:46.652;499;I;1210;808;2100;4;;8a8e82bc;-0.015937108546495438
23_02_14 11:25:46.782;503;I;1210;808;2100;4;;01e0d33b;0.006465912330895662
23_02_14 11:25:46.918;507;I;1210;808;2100;4;;66f4f3bc;-0.029779624193906784
23_02_14 11:25:47.053;511;I;1210;808;2100;4;;49fc8f3d;0.07030541449785233
23_02_14 11:25:47.170;515;I;1210;808;2100;4;;d65f8d3c;0.017257612198591232
23_02_14 11:25:47.300;519;I;1210;808;2100;4;;219291bd;-0.07107950001955032
23_02_14 11:25:47.431;523;I;1210;808;2100;4;;918c9bbd;-0.0759517028927803
23_02_14 11:25:47.559;527;I;1210;808;2100;4;;b2b2a8bd;-0.08237208425998688
23_02_14 11:25:47.690;531;I;1210;808;2100;4;;0847b1bd;-0.08656126260757446
23_02_14 11:25:47.824;535;I;1210;808;2100;4;;b909703d;0.05860302224755287
23_02_14 11:25:47.954;539;I;1210;808;2100;4;;f7d67d3d;0.06197258457541466
23_02_14 11:25:48.079;543;I;1210;808;2100;4;;e41db2bd;-0.08697107434272766
23_02_14 11:25:48.219;547;I;1210;808;2100;4;;c37b8a3d;0.06761886924505234
23_02_14 11:25:48.340;551;I;1210;808;2100;4;;3050b6bd;-0.08902013301849365
23_02_14 11:25:48.494;555;I;1210;808;2100;4;;83c6abbd;-0.08387472480535507
23_02_14 11:25:48.612;559;I;1210;808;2100;4;;6337dabc;-0.026637738570570946
23_02_14 11:25:48.730;563;I;1210;808;2100;4;;3baa6f3d;0.05851195380091667
23_02_14 11:25:48.860;567;I;1210;808;2100;4;;a0c65a3d;0.05341207981109619
23_02_14 11:25:48.996;571;I;1210;808;2100;4;;4955bebd;-0.09293610602617264
23_02_14 11:25:49.121;575;I;1210;808;2100;4;;f319643d;0.05568880960345268
23_02_14 11:25:49.250;579;I;1210;808;2100;4;;cfd5c3bd;-0.09562265127897263
23_02_14 11:25:49.401;583;I;1210;808;2100;4;;83be603d;0.054869186133146286
23_02_14 11:25:49.552;588;I;1210;808;2100;4;;1348bcbd;-0.09193434566259384
23_02_14 11:25:49.644;592;I;1210;808;2100;4;;a78eb13b;0.005418616812676191
23_02_14 11:25:49.774;596;I;1210;808;2100;4;;a0cea5bd;-0.08096051216125488
23_02_14 11:25:49.913;600;I;1210;808;2100;4;;b539803d;0.06261006742715836
23_02_14 11:25:50.036;604;I;1210;808;2100;4;;29abcbbc;-0.024861888960003853
23_02_14 11:25:50.176;608;I;1210;808;2100;4;;9108363b;0.002777610206976533
23_02_14 11:25:50.324;612;I;1210;808;2100;4;;4d3d8f3d;0.06994114071130753
23_02_14 11:25:50.447;616;I;1210;808;2100;4;;044c8a3d;0.06752780079841614
23_02_14 11:25:50.561;620;I;1210;808;2100;4;;3430bcbd;-0.09188881516456604
23_02_14 11:25:50.714;624;I;1210;808;2100;4;;f7d67d3d;0.06197258457541466
23_02_14 11:25:50.815;628;I;1210;808;2100;4;;aed222bd;-0.039751701056957245
23_02_14 11:25:50.976;632;I;1210;808;2100;4;;54af77bb;-0.0037793712690472603
23_02_14 11:25:51.077;636;I;1210;808;2100;4;;7c82babd;-0.09106919169425964
23_02_14 11:25:51.218;640;I;1210;808;2100;4;;694509bc;-0.008378365077078342
23_02_14 11:25:51.336;644;I;1210;808;2100;4;;b21322bd;-0.039569564163684845
23_02_14 11:25:51.468;648;I;1210;808;2100;4;;132d1bbb;-0.002367798937484622
23_02_14 11:25:51.611;652;I;1210;808;2100;4;;0cce88bd;-0.06679925322532654
23_02_14 11:25:51.750;656;I;1210;808;2100;4;;62c38abb;-0.0042347172275185585
23_02_14 11:25:51.867;660;I;1210;808;2100;4;;05a5b83c;0.022539624944329262
23_02_14 11:25:52.023;664;I;1210;808;2100;4;;3fad61bd;-0.055096860975027084
23_02_14 11:25:52.133;668;I;1210;808;2100;4;;cbd251bd;-0.0512264184653759
23_02_14 11:25:52.269;672;I;1210;808;2100;4;;3b6c62bd;-0.055278997868299484
23_02_14 11:25:52.393;676;I;1210;808;2100;4;;30a9e43c;0.02791270613670349
23_02_14 11:25:52.525;680;I;1210;808;2100;4;;01262c3e;0.16811372339725494
23_02_14 11:25:52.660;684;I;1210;808;2100;4;;910836bc;-0.011110440827906132
23_02_14 11:25:52.815;688;I;1210;808;2100;4;;9c6aba3d;0.09102365374565125
23_02_14 11:25:52.923;692;I;1210;808;2100;4;;ddd9c0bc;-0.023541385307908058
23_02_14 11:25:53.078;696;I;1210;808;2100;4;;66fc3e3c;0.011656856164336205
23_02_14 11:25:53.179;700;I;1210;808;2100;4;;83889ebd;-0.0774088129401207
23_02_14 11:25:53.332;704;I;1210;808;2100;4;;136ba8bd;-0.08223547786474228
23_02_14 11:25:53.478;708;I;1210;808;2100;4;;e47eabbd;-0.08373811841011047
23_02_14 11:25:53.574;712;I;1210;808;2100;4;;13cca13d;0.07900252193212509
