Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;Id;Iq
23_02_14 11:48:25.677;0;I;1210;1;2106;8;;e837153978452b3a;0.00014230574015527964;0.0006533483974635601
23_02_14 11:49:37.743;43571;I;1210;808;2106;8;;1bc84cba84c260ba;-0.0007811800460331142;-0.000857390696182847
23_02_14 11:49:37.888;45794;I;1210;808;2106;8;;200d833a7f0c6eba;0.0009998418390750885;-0.0009080841555260122
23_02_14 11:49:37.999;45799;I;1210;808;2106;8;;ec4fbb39183291ba;0.00035726965870708227;-0.0011077551171183586
23_02_14 11:49:38.127;45804;I;1210;808;2106;8;;e21d033a93e7edb9;0.000500170630402863;-0.00045376698835752904
23_02_14 11:49:38.259;45809;I;1210;808;2106;8;;baf6023ac73deeb9;0.0004995871568098664;-0.00045440925168804824
23_02_14 11:49:38.392;45814;I;1210;808;2106;8;;98c511b9069f2cba;-0.00013901886995881796;-0.0006584975635632873
23_02_14 11:49:38.512;45819;I;1210;808;2106;8;;0e3b15b94c452bba;-0.0001423174689989537;-0.0006533458363264799
23_02_14 11:49:38.644;45824;I;1210;808;2106;8;;617a27ba1cf155b9;-0.000638878031168133;-0.00020403083181008697
23_02_14 11:49:38.784;45829;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:38.905;45834;I;1210;808;2106;8;;4045283abb9c5039;0.000641901046037674;0.00019894812430720776
23_02_14 11:49:39.038;45839;I;1210;808;2106;8;;aba193b967f0abba;-0.00028158476925455034;-0.001311791012994945
23_02_14 11:49:39.155;45844;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:39.290;45849;I;1210;808;2106;8;;700b12b9569b2cba;-0.00013927905820310116;-0.0006584426155313849
23_02_14 11:49:39.413;45854;I;1210;808;2106;8;;282c023ad890ebb9;0.0004965686239302158;-0.0004493060987442732
23_02_14 11:49:39.547;45859;I;1210;808;2106;8;;227a27ba30f455b9;-0.0006388743640854955;-0.00020404229871928692
23_02_14 11:49:39.674;45864;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:39.801;45869;I;1210;808;2106;8;;137f12b936952cba;-0.0001397098385496065;-0.0006583513459190726
23_02_14 11:49:39.929;45874;I;1210;808;2106;8;;158327baf78355b9;-0.0006390077178366482;-0.00020362423674669117
23_02_14 11:49:40.059;45879;I;1210;808;2106;8;;00e44ab6abffaa36;-3.023305907845497e-06;5.096158474771073e-06
23_02_14 11:49:40.194;45884;I;1210;808;2106;8;;50e3023a6f68eeb9;0.0004992978647351265;-0.0004547270655166358
23_02_14 11:49:40.330;45889;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:40.453;45894;I;1210;808;2106;8;;beed4cba33a060ba;-0.0007817408768460155;-0.0008568793418817222
23_02_14 11:49:40.626;45899;I;1210;808;2106;8;;158327baf78355b9;-0.0006390077178366482;-0.00020362423674669117
23_02_14 11:49:40.845;45904;I;1210;808;2106;8;;137f12b936952cba;-0.0001397098385496065;-0.0006583513459190726
23_02_14 11:49:40.846;45909;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:40.965;45913;I;1210;808;2106;8;;4168273aa7d35639;0.0006386079476214945;0.0002048747701337561
23_02_14 11:49:41.096;45918;I;1210;808;2106;8;;b438953a7b4283b9;0.0011384696699678898;-0.00025035798898898065
23_02_14 11:49:41.225;45923;I;1210;808;2106;8;;227a273a30f45539;0.0006388743640854955;0.00020404229871928692
23_02_14 11:49:41.378;45928;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:41.523;45933;I;1210;808;2106;8;;282c02bad890eb39;-0.0004965686239302158;0.0004493060987442732
23_02_14 11:49:41.634;45938;I;1210;808;2106;8;;404528babb9c50b9;-0.000641901046037674;-0.00019894812430720776
23_02_14 11:49:41.740;45943;I;1210;808;2106;8;;4045283abb9c5039;0.000641901046037674;0.00019894812430720776
23_02_14 11:49:41.889;45948;I;1210;808;2106;8;;b43895ba7b428339;-0.0011384696699678898;0.00025035798898898065
23_02_14 11:49:41.996;45953;I;1210;808;2106;8;;227a273a30f45539;0.0006388743640854955;0.00020404229871928692
23_02_14 11:49:42.161;45958;I;1210;808;2106;8;;46f7023a933ceeb9;0.0004995953058823943;-0.00045440028770826757
23_02_14 11:49:42.253;45963;I;1210;808;2106;8;;e83715b978452bba;-0.00014230574015527964;-0.0006533483974635601
23_02_14 11:49:42.384;45968;I;1210;808;2106;8;;e83715b978452bba;-0.00014230574015527964;-0.0006533483974635601
23_02_14 11:49:42.509;45973;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:42.653;45978;I;1210;808;2106;8;;227a273a30f45539;0.0006388743640854955;0.00020404229871928692
23_02_14 11:49:42.776;45983;I;1210;808;2106;8;;4d531439e2512b3a;0.00014145411842036992;0.0006535333814099431
23_02_14 11:49:42.899;45988;I;1210;808;2106;8;;161672bafe03c6ba;-0.0009234858443960547;-0.0015107390936464071
23_02_14 11:49:43.022;45993;I;1210;808;2106;8;;e837153978452b3a;0.00014230574015527964;0.0006533483974635601
23_02_14 11:49:43.155;45998;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:43.304;46003;I;1210;808;2106;8;;1e8bbb39522d91ba;0.0003577106981538236;-0.001107612857595086
23_02_14 11:49:43.410;46008;I;1210;808;2106;8;;46f7023a933ceeb9;0.0004995953058823943;-0.00045440028770826757
23_02_14 11:49:43.550;46013;I;1210;808;2106;8;;9752bb39e13191ba;0.0003572895366232842;-0.0011077487142756581
23_02_14 11:49:43.664;46018;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:43.794;46023;I;1210;808;2106;8;;227a273a30f45539;0.0006388743640854955;0.00020404229871928692
23_02_14 11:49:43.925;46028;I;1210;808;2106;8;;26ce14b9384b2bba;-0.00014191176160238683;-0.0006534340791404247
23_02_14 11:49:44.054;46033;I;1210;808;2106;8;;46f702ba933cee39;-0.0004995953058823943;0.00045440028770826757
23_02_14 11:49:44.186;46037;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:44.306;46042;I;1210;808;2106;8;;1bc84c3a84c2603a;0.0007811800460331142;0.000857390696182847
