Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;rate
23_02_14 11:27:33.032;0;O;1;1210;21B0;4;ERR;0000c842;100.0
23_02_14 11:29:46.781;3783;O;1;1210;21B0;4;ERR;0000c842;100.0
23_02_14 11:32:29.825;7990;O;1;1210;21B0;4;ERR;00000000;0.0
23_02_14 11:33:12.443;13361;O;1;1210;21B0;4;ERR;0000e642;115.0
23_02_14 11:35:36.883;14668;O;1;1210;21B0;4;ERR;0000fa43;500.0
23_02_14 11:36:48.235;19521;O;1;1210;21B0;4;ERR;00007a44;1000.0
23_02_14 11:37:45.379;21555;O;1;1210;21B0;4;ERR;0080bb44;1500.0
23_02_14 11:37:48.412;23263;O;1;1210;21B0;4;ERR;0080bb44;1500.0
23_02_14 11:37:56.764;23364;O;1;1210;21B0;4;ERR;0080bb44;1500.0
23_02_14 11:39:31.101;23975;O;1;1210;21B0;4;ERR;0000fa44;2000.0
23_02_14 11:41:10.237;26803;O;1;1210;21B0;4;ERR;0000fac4;-2000.0
23_02_14 11:42:30.262;29989;O;1;1210;21B0;4;ERR;0080bbc4;-1500.0
23_02_14 11:43:20.318;33970;O;1;1210;21B0;4;ERR;00000000;0.0
23_02_14 11:52:21.273;52391;O;1;1210;21B0;4;ERR;0080bb44;1500.0
23_02_14 11:56:42.158;34181;O;1;1210;21B0;4;ERR;0080bb44;1500.0
23_02_14 11:58:37.643;66052;O;1;1210;21B0;4;ERR;00000000;0.0
23_02_14 11:59:53.668;75099;O;1;1210;21B0;4;ERR;0080bb44;1500.0
23_02_14 12:01:04.700;75432;O;1;1210;21B0;4;ERR;00000000;0.0
23_02_14 12:02:05.745;81804;O;1;1210;21B0;4;ERR;0080bb44;1500.0
23_02_14 12:02:45.300;82041;O;1;1210;21B0;4;ERR;00000000;0.0
23_02_14 12:09:20.648;84383;O;1;1210;21B0;4;ERR;0080bb44;1500.0
23_02_14 12:09:50.912;102596;O;1;1210;21B0;4;ERR;00000000;0.0
23_02_14 12:10:37.632;104091;O;1;1210;21B0;4;ERR;0080bb44;1500.0
23_02_14 12:11:09.721;106289;O;1;1210;21B0;4;ERR;00000000;0.0
23_02_14 12:11:58.608;107876;O;1;1210;21B0;4;ERR;00009644;1200.0
23_02_14 12:12:19.792;110169;O;1;1210;21B0;4;ERR;00000000;0.0
23_02_14 12:13:05.985;111215;O;1;1210;21B0;4;ERR;0080bb44;1500.0
23_02_14 12:13:56.740;113384;O;1;1210;21B0;4;ERR;00000000;0.0
23_02_14 12:14:31.473;115892;O;1;1210;21B0;4;ERR;00009644;1200.0
23_02_14 12:17:02.764;117522;O;1;1210;21B0;4;ERR;00000000;0.0
