Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;torque
23_02_14 11:25:43.797;0;I;1220;808;2101;4;;4f29d635;1.5956264860506053e-06
23_02_14 11:25:43.828;410;I;1220;808;2101;4;;5cace635;1.718649855320109e-06
23_02_14 11:25:43.977;414;I;1220;808;2101;4;;a715e335;1.6919119616432e-06
23_02_14 11:25:44.063;418;I;1220;808;2101;4;;ef67c234;3.621093753736204e-07
23_02_14 11:25:44.162;422;I;1220;808;2101;4;;bfe96fb6;-3.5749833386944374e-06
23_02_14 11:25:44.281;426;I;1220;808;2101;4;;f9bc9535;1.115636337090109e-06
23_02_14 11:25:44.439;430;I;1220;808;2101;4;;3a3b1037;8.596858606324531e-06
23_02_14 11:25:44.544;434;I;1220;808;2101;4;;1cf68534;2.4952248622867046e-07
23_02_14 11:25:44.689;438;I;1220;808;2101;4;;2fc53fb5;-7.143998459469003e-07
23_02_14 11:25:44.827;442;I;1220;808;2101;4;;da022bb5;-6.370661367327557e-07
23_02_14 11:25:44.934;446;I;1220;808;2101;4;;46a2d2b4;-3.923361759916588e-07
23_02_14 11:25:45.072;450;I;1220;808;2101;4;;928393b6;-4.396258191263769e-06
23_02_14 11:25:45.206;454;I;1220;808;2101;4;;75d453b4;-1.972819774209711e-07
23_02_14 11:25:45.311;458;I;1220;808;2101;4;;80ad02b5;-4.868124960921705e-07
23_02_14 11:25:45.451;462;I;1220;808;2101;4;;a718eb36;7.006415671639843e-06
23_02_14 11:25:45.568;466;I;1220;808;2101;4;;1ff61ab5;-5.772762392552977e-07
23_02_14 11:25:45.698;470;I;1220;808;2101;4;;0ad5aeb4;-3.256503191551019e-07
23_02_14 11:25:45.829;474;I;1220;808;2101;4;;750310b5;-5.364921094042074e-07
23_02_14 11:25:45.961;478;I;1220;808;2101;4;;c63421b5;-6.005396926411777e-07
23_02_14 11:25:46.105;482;I;1220;808;2101;4;;780c40b5;-7.154371814976912e-07
23_02_14 11:25:46.216;486;I;1220;808;2101;4;;3d4151b5;-7.795350143169344e-07
23_02_14 11:25:46.382;490;I;1220;808;2101;4;;50cec3b4;-3.6471692510531284e-07
23_02_14 11:25:46.501;494;I;1220;808;2101;4;;976795b4;-2.782878425477975e-07
23_02_14 11:25:46.610;498;I;1220;808;2101;4;;667975b5;-9.144627028945251e-07
23_02_14 11:25:46.734;502;I;1220;808;2101;4;;7c42c136;5.759588020737283e-06
23_02_14 11:25:46.884;506;I;1220;808;2101;4;;ec0c0cb6;-2.086914719257038e-06
23_02_14 11:25:47.012;510;I;1220;808;2101;4;;9d18dfb5;-1.6621958138784976e-06
23_02_14 11:25:47.132;514;I;1220;808;2101;4;;1900d3b5;-1.5720753481218708e-06
