Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;Id;Iq
23_02_14 11:50:47.006;0;I;1220;1;2106;8;;8b842dbad094ebb8;-0.0006619176710955799;-0.00011233391705900431
23_02_14 11:51:32.632;48482;I;1220;808;2106;8;;8b93adba0bcd68b9;-0.0013242823770269752;-0.0002220162859885022
23_02_14 11:51:32.765;50259;I;1220;808;2106;8;;8b84adbad0946bb9;-0.0013238353421911597;-0.00022466783411800861
23_02_14 11:51:32.889;50265;I;1220;808;2106;8;;86e1e4b9384d073a;-0.00043655576882883906;0.0005161347799003124
23_02_14 11:51:33.017;50271;I;1220;808;2106;8;;0fb167bae87f43ba;-0.0008838334470055997;-0.0007457719184458256
23_02_14 11:51:33.151;50277;I;1220;808;2106;8;;ae816cb9f07424ba;-0.00022555023315362632;-0.0006273528560996056
23_02_14 11:51:33.273;50283;I;1220;808;2106;8;;c4788fbae65ed039;-0.0010946025140583515;0.0003974355640821159
23_02_14 11:51:33.409;50289;I;1220;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:51:33.529;50295;I;1220;808;2106;8;;fa08adbaf31571b9;-0.0013201527763158083;-0.00022991727746557444
23_02_14 11:51:33.657;50301;I;1220;808;2106;8;;ae816cb9f07424ba;-0.00022555023315362632;-0.0006273528560996056
23_02_14 11:51:33.798;50307;I;1220;808;2106;8;;c6802cba28eef8b8;-0.0006580468034371734;-0.00011869921581819654
23_02_14 11:51:33.915;50313;I;1220;808;2106;8;;c4788fbae65ed039;-0.0010946025140583515;0.0003974355640821159
23_02_14 11:51:34.170;50319;I;1220;808;2106;8;;c4788fbae65ed039;-0.0010946025140583515;0.0003974355640821159
23_02_14 11:51:34.171;50325;I;1220;808;2106;8;;a368caba306961ba;-0.001544256112538278;-0.0008598743006587029
23_02_14 11:51:34.334;50331;I;1220;808;2106;8;;c6802cba28eef8b8;-0.0006580468034371734;-0.00011869921581819654
23_02_14 11:51:34.477;50337;I;1220;808;2106;8;;4a732cba8a41fbb8;-0.0006578458705917001;-0.00011980820272583514
23_02_14 11:51:34.553;50343;I;1220;808;2106;8;;328f8fba3367cf39;-0.0010952709708362818;0.00039559006108902395
23_02_14 11:51:34.692;50349;I;1220;808;2106;8;;3656e5b9cb1b073a;-0.0004374251584522426;0.0005153982783667743
23_02_14 11:51:34.811;50355;I;1220;808;2106;8;;10b76cb9237024ba;-0.00022574909962713718;-0.0006272813188843429
23_02_14 11:51:34.937;50361;I;1220;808;2106;8;;4a732cba8a41fbb8;-0.0006578458705917001;-0.00011980820272583514
23_02_14 11:51:35.066;50367;I;1220;808;2106;8;;8b842dbad094ebb8;-0.0006619176710955799;-0.00011233391705900431
23_02_14 11:51:35.194;50373;I;1220;808;2106;8;;ae816cb9f07424ba;-0.00022555023315362632;-0.0006273528560996056
23_02_14 11:51:35.333;50379;I;1220;808;2106;8;;86e1e4b9384d073a;-0.00043655576882883906;0.0005161347799003124
23_02_14 11:51:35.456;50385;I;1220;808;2106;8;;3656e5b9cb1b073a;-0.0004374251584522426;0.0005153982783667743
23_02_14 11:51:35.579;50391;I;1220;808;2106;8;;ae81ecb9f074a4ba;-0.00045110046630725265;-0.0012547057121992111
23_02_14 11:51:35.707;50397;I;1220;808;2106;8;;4a732cba8a41fbb8;-0.0006578458705917001;-0.00011980820272583514
23_02_14 11:51:35.836;50403;I;1220;808;2106;8;;6b0badba9ba570b9;-0.0013202255358919501;-0.0002294987643836066
23_02_14 11:51:35.964;50409;I;1220;808;2106;8;;ebfbacba2b6b73b9;-0.0013197635998949409;-0.000232142090681009
23_02_14 11:51:36.093;50415;I;1220;808;2106;8;;2e912dbac03de9b8;-0.0006621059728786349;-0.00011121807619929314
23_02_14 11:51:36.221;50421;I;1220;808;2106;8;;ebfbacba2b6b73b9;-0.0013197635998949409;-0.000232142090681009
23_02_14 11:51:36.351;50427;I;1220;808;2106;8;;4f3ee6ba365a9639;-0.0017566176829859614;0.0002867744187824428
23_02_14 11:51:36.479;50433;I;1220;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:51:36.611;50439;I;1220;808;2106;8;;466ae5b94613073a;-0.0004375746357254684;0.000515271327458322
23_02_14 11:51:36.754;50445;I;1220;808;2106;8;;c6802cba28eef8b8;-0.0006580468034371734;-0.00011869921581819654
23_02_14 11:51:36.865;50451;I;1220;808;2106;8;;d0ef73b936a320ba;-0.00023263623006641865;-0.0006127835949882865
23_02_14 11:51:37.018;50457;I;1220;808;2106;8;;7f806abad0153eba;-0.0008945539011619985;-0.0007251175120472908
23_02_14 11:51:37.142;50463;I;1220;808;2106;8;;ce95aeba16e85bb9;-0.001331979176029563;-0.00020971926278434694
23_02_14 11:51:37.252;50469;I;1220;808;2106;8;;6bd26aba8eb03dba;-0.0008957746322266757;-0.0007236086530610919
23_02_14 11:51:37.380;50475;I;1220;808;2106;8;;2823e9b950390b3a;-0.0004446741659194231;0.0005310969427227974
