Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;rate
23_02_14 11:32:03.370;0;O;1;1220;21B0;4;ERR;0000c842;100.0
23_02_14 11:35:48.915;19128;O;1;1220;21B0;4;ERR;0000fa43;500.0
23_02_14 11:36:52.492;21412;O;1;1220;21B0;4;ERR;00007a44;1000.0
23_02_14 11:38:07.115;23637;O;1;1220;21B0;4;ERR;0080bb44;1500.0
23_02_14 11:39:35.197;26667;O;1;1220;21B0;4;ERR;0000fa44;2000.0
23_02_14 11:41:14.645;29843;O;1;1220;21B0;4;ERR;0000fac4;-2000.0
23_02_14 11:42:35.095;32462;O;1;1220;21B0;4;ERR;0080bbc4;-1500.0
23_02_14 11:43:14.056;32620;O;1;1220;21B0;4;ERR;00000000;0.0
23_02_14 11:52:18.100;12459;O;1;1220;21B0;4;ERR;0080bb44;1500.0
23_02_14 11:56:46.992;65809;O;1;1220;21B0;4;ERR;0080bb44;1500.0
23_02_14 11:58:41.899;71835;O;1;1220;21B0;4;ERR;00000000;0.0
23_02_14 11:59:46.942;72056;O;1;1220;21B0;4;ERR;0080bb44;1500.0
23_02_14 12:01:09.700;79144;O;1;1220;21B0;4;ERR;00000000;0.0
23_02_14 12:02:00.974;79404;O;1;1220;21B0;4;ERR;0080bb44;1500.0
23_02_14 12:02:50.605;84110;O;1;1220;21B0;4;ERR;00000000;0.0
