Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;msg_id
23_02_14 11:27:33.051;0;I;1210;1;1920;2;;b021;8624
23_02_14 11:28:14.374;3784;I;1210;1;1920;2;;b521;8629
23_02_14 11:29:46.801;5134;I;1210;1;1920;2;;b021;8624
23_02_14 11:32:29.842;7991;I;1210;1;1920;2;;b021;8624
23_02_14 11:33:12.460;13362;I;1210;1;1920;2;;b021;8624
23_02_14 11:33:28.851;14669;I;1210;1;1920;2;;b521;8629
23_02_14 11:35:36.899;15207;I;1210;1;1920;2;;b021;8624
23_02_14 11:36:02.940;19129;I;1210;1;1920;2;;b521;8629
23_02_14 11:36:48.250;20009;I;1210;1;1920;2;;b021;8624
23_02_14 11:37:10.622;21413;I;1210;1;1920;2;;b521;8629
23_02_14 11:37:45.396;22181;I;1210;1;1920;2;;b021;8624
23_02_14 11:37:48.428;23264;I;1210;1;1920;2;;b021;8624
23_02_14 11:37:56.779;23365;I;1210;1;1920;2;;b021;8624
23_02_14 11:38:30.283;23638;I;1210;1;1920;2;;b521;8629
23_02_14 11:39:31.116;24778;I;1210;1;1920;2;;b021;8624
23_02_14 11:40:03.925;26668;I;1210;1;1920;2;;b521;8629
23_02_14 11:41:10.254;27797;I;1210;1;1920;2;;b021;8624
23_02_14 11:41:50.119;29844;I;1210;1;1920;2;;b521;8629
23_02_14 11:42:30.280;31219;I;1210;1;1920;2;;b021;8624
23_02_14 11:43:20.334;32463;I;1210;1;1920;2;;b021;8624
23_02_14 11:48:25.676;34182;I;1210;1;1920;2;;3519;6453
23_02_14 11:49:37.719;43570;I;1210;1;1920;2;;3419;6452
23_02_14 11:52:21.284;45792;I;1210;1;1920;2;;b021;8624
23_02_14 11:55:32.181;52551;I;1210;1;1920;2;;b521;8629
23_02_14 11:56:42.161;62529;I;1210;1;1920;2;;b021;8624
23_02_14 11:58:37.648;65810;I;1210;1;1920;2;;b021;8624
23_02_14 11:59:53.671;71836;I;1210;1;1920;2;;b021;8624
23_02_14 12:01:04.705;75433;I;1210;1;1920;2;;b021;8624
23_02_14 12:02:05.749;79145;I;1210;1;1920;2;;b021;8624
23_02_14 12:02:45.307;82043;I;1210;1;1920;2;;b021;8624
23_02_14 12:04:13.083;84111;I;1210;1;1920;2;;b122;8881
23_02_14 12:04:52.667;88244;I;1210;1;1920;2;;3519;6453
23_02_14 12:05:00.262;90093;I;1210;1;1920;2;;b122;8881
23_02_14 12:05:12.913;90450;I;1210;1;1920;2;;b122;8881
23_02_14 12:05:41.146;91042;I;1210;1;1920;2;;b122;8881
23_02_14 12:05:59.232;92361;I;1210;1;1920;2;;b122;8881
23_02_14 12:09:09.170;93207;I;1210;1;1920;2;;b022;8880
23_02_14 12:09:20.664;102059;I;1210;1;1920;2;;b021;8624
23_02_14 12:09:50.928;102597;I;1210;1;1920;2;;b021;8624
23_02_14 12:10:27.040;104092;I;1210;1;1920;2;;b022;8880
23_02_14 12:10:37.647;105791;I;1210;1;1920;2;;b021;8624
23_02_14 12:11:09.739;106290;I;1210;1;1920;2;;b021;8624
23_02_14 12:11:45.662;107877;I;1210;1;1920;2;;b022;8880
23_02_14 12:11:58.623;109563;I;1210;1;1920;2;;b021;8624
23_02_14 12:12:19.810;110170;I;1210;1;1920;2;;b021;8624
23_02_14 12:12:36.247;111216;I;1210;1;1920;2;;b022;8880
23_02_14 12:12:58.275;111992;I;1210;1;1920;2;;b022;8880
23_02_14 12:13:06.001;113022;I;1210;1;1920;2;;b021;8624
23_02_14 12:13:36.449;113385;I;1210;1;1920;2;;b122;8881
23_02_14 12:13:56.757;114889;I;1210;1;1920;2;;b021;8624
23_02_14 12:14:20.618;115893;I;1210;1;1920;2;;b022;8880
23_02_14 12:14:31.490;117016;I;1210;1;1920;2;;b021;8624
23_02_14 12:17:02.768;117523;I;1210;1;1920;2;;b021;8624
23_02_14 12:17:35.305;124986;I;1210;1;1920;2;;b122;8881
