Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;torque
23_02_14 11:25:43.828;0;I;1210;808;2101;4;;a1634a36;3.015833726749406e-06
23_02_14 11:25:43.873;413;I;1210;808;2101;4;;4f2e7fb6;-3.802491619353532e-06
23_02_14 11:25:44.063;417;I;1210;808;2101;4;;e69d3836;2.751004558376735e-06
23_02_14 11:25:44.133;421;I;1210;808;2101;4;;30ad83b6;-3.924265911336988e-06
23_02_14 11:25:44.261;425;I;1210;808;2101;4;;06652b36;2.553978902142262e-06
23_02_14 11:25:44.400;429;I;1210;808;2101;4;;d8362036;2.387378117418848e-06
23_02_14 11:25:44.534;433;I;1210;808;2101;4;;bf091b36;2.3102472823666176e-06
23_02_14 11:25:44.688;437;I;1210;808;2101;4;;201285b6;-3.96581890527159e-06
23_02_14 11:25:44.789;441;I;1210;808;2101;4;;b5814936;3.0026833428564714e-06
23_02_14 11:25:44.910;445;I;1210;808;2101;4;;a93c9634;2.798381331103883e-07
23_02_14 11:25:45.041;449;I;1210;808;2101;4;;02b13436;2.6925122256216127e-06
23_02_14 11:25:45.171;453;I;1210;808;2101;4;;d27a90b6;-4.305832590034697e-06
23_02_14 11:25:45.310;457;I;1210;808;2101;4;;f2331c36;2.3276047613762785e-06
23_02_14 11:25:45.426;461;I;1210;808;2101;4;;ff3e8db6;-4.209461167192785e-06
23_02_14 11:25:45.554;465;I;1210;808;2101;4;;6a3a17b6;-2.253475486213574e-06
23_02_14 11:25:45.698;469;I;1210;808;2101;4;;2f572936;2.5233709948224714e-06
23_02_14 11:25:45.816;473;I;1210;808;2101;4;;579d1c36;2.3337395305134123e-06
23_02_14 11:25:45.941;477;I;1210;808;2101;4;;680c0f36;2.1315881895134225e-06
23_02_14 11:25:46.072;481;I;1210;808;2101;4;;23363436;2.685360186660546e-06
23_02_14 11:25:46.199;485;I;1210;808;2101;4;;3adc61b3;-5.258718971390408e-08
23_02_14 11:25:46.343;489;I;1210;808;2101;4;;f3978735;1.01025068488525e-06
23_02_14 11:25:46.466;493;I;1210;808;2101;4;;69c32e36;2.60417641584354e-06
23_02_14 11:25:46.588;497;I;1210;808;2101;4;;25bc1bb5;-5.801578595310275e-07
23_02_14 11:25:46.717;501;I;1210;808;2101;4;;40de5c36;3.2911921152845025e-06
23_02_14 11:25:46.848;505;I;1210;808;2101;4;;fd814f36;3.0921066809241893e-06
23_02_14 11:25:46.976;509;I;1210;808;2101;4;;d6d360b6;-3.3501905818411615e-06
23_02_14 11:25:47.131;513;I;1210;808;2101;4;;6c104ab6;-3.01099044008879e-06
23_02_14 11:25:47.234;517;I;1210;808;2101;4;;afbc5d36;3.3041394544852665e-06
23_02_14 11:25:47.367;521;I;1210;808;2101;4;;20481b35;5.784695531474426e-07
23_02_14 11:25:47.497;525;I;1210;808;2101;4;;ef7b59b6;-3.240765863665729e-06
23_02_14 11:25:47.624;529;I;1210;808;2101;4;;5ce92836;2.516978383937385e-06
23_02_14 11:25:47.754;533;I;1210;808;2101;4;;c4b4b7b5;-1.368717221339466e-06
23_02_14 11:25:47.888;537;I;1210;808;2101;4;;d2431e36;2.358331130380975e-06
23_02_14 11:25:48.016;541;I;1210;808;2101;4;;083c83b6;-3.911092790076509e-06
23_02_14 11:25:48.173;545;I;1210;808;2101;4;;73023a36;2.771758545350167e-06
23_02_14 11:25:48.274;549;I;1210;808;2101;4;;77697eb6;-3.7910338051005965e-06
23_02_14 11:25:48.410;553;I;1210;808;2101;4;;43b93336;2.6780915050039766e-06
23_02_14 11:25:48.535;557;I;1210;808;2101;4;;78f2bab5;-1.3928647604188882e-06
23_02_14 11:25:48.665;561;I;1210;808;2101;4;;aa6f2636;2.480092462064931e-06
23_02_14 11:25:48.813;565;I;1210;808;2101;4;;6558d0b4;-3.880733459027397e-07
23_02_14 11:25:48.927;569;I;1210;808;2101;4;;c7751436;2.212227400377742e-06
23_02_14 11:25:49.059;573;I;1210;808;2101;4;;1a27e8b5;-1.7296727037319215e-06
23_02_14 11:25:49.186;577;I;1210;808;2101;4;;96c783b6;-3.927339093934279e-06
23_02_14 11:25:49.316;581;I;1210;808;2101;4;;d9fb1d36;2.3541417704109335e-06
23_02_14 11:25:49.466;585;I;1210;808;2101;4;;14f295b4;-2.792954774122336e-07
23_02_14 11:25:49.600;590;I;1210;808;2101;4;;17c5cd33;9.58190682354143e-08
23_02_14 11:25:49.741;594;I;1210;808;2101;4;;bbf05cb6;-3.2922678201430244e-06
23_02_14 11:25:49.875;598;I;1210;808;2101;4;;ae854336;2.9135076147213113e-06
23_02_14 11:25:50.003;602;I;1210;808;2101;4;;61be84b6;-3.956069576815935e-06
23_02_14 11:25:50.136;606;I;1210;808;2101;4;;d43d70b6;-3.579877557058353e-06
23_02_14 11:25:50.229;610;I;1210;808;2101;4;;40824336;2.913307980634272e-06
23_02_14 11:25:50.359;614;I;1210;808;2101;4;;c39562b6;-3.3763797091523884e-06
