Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;msg_id
23_02_14 11:32:03.385;0;I;1220;1;1920;2;;b021;8624
23_02_14 11:32:21.217;12460;I;1220;1;1920;2;;b521;8629
23_02_14 11:35:48.931;13077;I;1220;1;1920;2;;b021;8624
23_02_14 11:36:09.034;19522;I;1220;1;1920;2;;b521;8629
23_02_14 11:36:52.509;20209;I;1220;1;1920;2;;b021;8624
23_02_14 11:37:15.150;21556;I;1220;1;1920;2;;b521;8629
23_02_14 11:37:19.273;22331;I;1220;1;1920;2;;b521;8629
23_02_14 11:38:07.146;22460;I;1220;1;1920;2;;b021;8624
23_02_14 11:38:39.700;23976;I;1220;1;1920;2;;b521;8629
23_02_14 11:39:35.212;25089;I;1220;1;1920;2;;b021;8624
23_02_14 11:40:08.549;26804;I;1220;1;1920;2;;b521;8629
23_02_14 11:41:14.659;27949;I;1220;1;1920;2;;b021;8624
23_02_14 11:41:54.180;29990;I;1220;1;1920;2;;b521;8629
23_02_14 11:42:35.111;31353;I;1220;1;1920;2;;b021;8624
23_02_14 11:43:14.074;32621;I;1220;1;1920;2;;b021;8624
23_02_14 11:50:47.006;33971;I;1220;1;1920;2;;3519;6453
23_02_14 11:51:27.158;48481;I;1220;1;1920;2;;3419;6452
23_02_14 11:51:32.510;50044;I;1220;1;1920;2;;3419;6452
23_02_14 11:52:18.112;50253;I;1220;1;1920;2;;b021;8624
23_02_14 11:55:36.110;52392;I;1220;1;1920;2;;b521;8629
23_02_14 11:56:47.008;62724;I;1220;1;1920;2;;b021;8624
23_02_14 11:58:41.903;66053;I;1220;1;1920;2;;b021;8624
23_02_14 11:59:46.947;72057;I;1220;1;1920;2;;b021;8624
23_02_14 12:01:09.705;75100;I;1220;1;1920;2;;b021;8624
23_02_14 12:02:00.977;79405;I;1220;1;1920;2;;b021;8624
23_02_14 12:02:50.608;81805;I;1220;1;1920;2;;b021;8624
