Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angularRate
23_02_14 11:25:43.828;0;I;1220;808;2100;4;;71b7f13c;0.029506416991353035
23_02_14 11:25:43.869;412;I;1220;808;2100;4;;7fcb043d;0.03242063149809837
23_02_14 11:25:43.977;416;I;1220;808;2100;4;;1766cf3c;0.02531723491847515
23_02_14 11:25:44.110;420;I;1220;808;2100;4;;2131183c;0.009289056994020939
23_02_14 11:25:44.219;424;I;1220;808;2100;4;;a712973c;0.018441511318087578
23_02_14 11:25:44.358;428;I;1220;808;2100;4;;a445e73c;0.02823144942522049
23_02_14 11:25:44.492;432;I;1220;808;2100;4;;0c0c96bd;-0.07326516509056091
23_02_14 11:25:44.633;436;I;1220;808;2100;4;;80bb6e3a;0.0009106919169425964
23_02_14 11:25:44.741;440;I;1220;808;2100;4;;bc14adbb;-0.0052820127457380295
23_02_14 11:25:44.874;444;I;1220;808;2100;4;;e4df24bc;-0.01006314530968666
23_02_14 11:25:44.996;448;I;1220;808;2100;4;;8dcf01bc;-0.007923019118607044
23_02_14 11:25:45.130;452;I;1220;808;2100;4;;98eb2d3e;0.16984403133392334
23_02_14 11:25:45.249;456;I;1220;808;2100;4;;cf51debb;-0.006784654688090086
23_02_14 11:25:45.387;460;I;1220;808;2100;4;;507e0ebc;-0.008697107434272766
23_02_14 11:25:45.505;464;I;1220;808;2100;4;;29b316bc;-0.009197988547384739
23_02_14 11:25:45.653;468;I;1220;808;2100;4;;01e81ebc;-0.009698868729174137
23_02_14 11:25:45.816;472;I;1220;808;2100;4;;a445e7bb;-0.007057862356305122
23_02_14 11:25:45.893;476;I;1220;808;2100;4;;e910273e;0.16315044462680817
23_02_14 11:25:46.027;480;I;1220;808;2100;4;;3e3912bc;-0.008924780413508415
23_02_14 11:25:46.159;484;I;1220;808;2100;4;;516e78bc;-0.015163020230829716
23_02_14 11:25:46.299;488;I;1220;808;2100;4;;830c84bc;-0.016119247302412987
23_02_14 11:25:46.435;492;I;1220;808;2100;4;;f3db56bc;-0.013113963417708874
23_02_14 11:25:46.540;496;I;1220;808;2100;4;;fae985bc;-0.016346920281648636
23_02_14 11:25:46.686;500;I;1220;808;2100;4;;8304b9bc;-0.022585159167647362
23_02_14 11:25:46.810;504;I;1220;808;2100;4;;25340a3e;0.13496454060077667
23_02_14 11:25:46.930;508;I;1220;808;2100;4;;dd9b33bd;-0.04384981468319893
23_02_14 11:25:47.088;512;I;1220;808;2100;4;;c0552cbd;-0.042073965072631836
