Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;msg_id
23_02_21 12:07:57.036;0;I;1210;1;1920;2;;3519;6453
23_02_21 12:08:16.246;4817;I;1210;1;1920;2;;be22;8894
23_02_21 12:08:40.064;5409;I;1210;1;1920;2;;c019;6592
23_02_21 12:09:35.635;6140;I;1210;1;1920;2;;3519;6453
23_02_21 12:11:00.425;7808;I;1210;1;1920;2;;3519;6453
23_02_21 12:13:51.031;10411;I;1210;1;1920;2;;3519;6453
23_02_21 12:15:41.923;15654;I;1210;1;1920;2;;b221;8626
23_02_21 12:16:35.737;19059;I;1210;1;1920;2;;b521;8629
23_02_21 12:17:30.565;20808;I;1210;1;1920;2;;b122;8881
23_02_21 12:18:17.113;22495;I;1210;1;1920;2;;b221;8626
23_02_21 12:19:13.862;23929;I;1210;1;1920;2;;b221;8626
23_02_21 12:20:08.727;25722;I;1210;1;1920;2;;b021;8624
23_02_21 12:20:37.525;27396;I;1210;1;1920;2;;b521;8629
23_02_21 12:27:09.120;28293;I;1210;1;1920;2;;b221;8626
23_02_21 12:27:52.801;40308;I;1210;1;1920;2;;b521;8629
23_02_21 12:28:08.229;41615;I;1210;1;1920;2;;b021;8624
23_02_21 12:28:26.676;42091;I;1210;1;1920;2;;b221;8626
23_02_21 12:30:57.670;42691;I;1210;1;1920;2;;b521;8629
23_02_21 12:31:50.146;47516;I;1210;1;1920;2;;b221;8626
23_02_21 12:33:17.059;49150;I;1210;1;1920;2;;3519;6453
23_02_21 12:33:58.025;51795;I;1210;1;1920;2;;b221;8626
23_02_21 12:37:13.847;53214;I;1210;1;1920;2;;b221;8626
23_02_21 12:38:33.770;59160;I;1210;1;1920;2;;b221;8626
23_02_21 12:40:07.268;61629;I;1210;1;1920;2;;3519;6453
23_02_21 12:41:07.278;64518;I;1210;1;1920;2;;b521;8629
23_02_21 12:41:42.878;66581;I;1210;1;1920;2;;b221;8626
23_02_21 12:42:27.085;67688;I;1210;1;1920;2;;b221;8626
23_02_21 12:43:19.580;69073;I;1210;1;1920;2;;b521;8629
23_02_21 12:45:48.734;70691;I;1210;1;1920;2;;b221;8626
23_02_21 12:48:08.869;75295;I;1210;1;1920;2;;b221;8626
23_02_21 12:48:48.754;79910;I;1210;1;1920;2;;b521;8629
23_02_21 12:48:59.836;81205;I;1210;1;1920;2;;b021;8624
23_02_21 12:49:25.750;81547;I;1210;1;1920;2;;b221;8626
23_02_21 12:50:03.674;82351;I;1210;1;1920;2;;b221;8626
23_02_21 12:50:37.487;83613;I;1210;1;1920;2;;b021;8624
23_02_21 12:53:29.487;84730;I;1210;1;1920;2;;b022;8880
23_02_21 12:54:25.765;90066;I;1210;1;1920;2;;b022;8880
23_02_21 12:54:34.412;91796;I;1210;1;1920;2;;b122;8881
23_02_21 12:55:09.275;92064;I;1210;1;1920;2;;b221;8626
23_02_21 12:56:05.516;93138;I;1210;1;1920;2;;b221;8626
23_02_21 12:57:25.962;94920;I;1210;1;1920;2;;b021;8624
23_02_21 12:59:23.765;97434;I;1210;1;1920;2;;b022;8880
23_02_21 12:59:26.133;101054;I;1210;1;1920;2;;b122;8881
23_02_21 12:59:46.885;101129;I;1210;1;1920;2;;b221;8626
23_02_21 13:00:48.221;101769;I;1210;1;1920;2;;b021;8624
23_02_21 13:01:50.485;103714;I;1210;1;1920;2;;b022;8880
23_02_21 13:01:53.258;105641;I;1210;1;1920;2;;b122;8881
23_02_21 13:01:59.963;105729;I;1210;1;1920;2;;b221;8626
23_02_21 13:04:17.263;105936;I;1210;1;1920;2;;b221;8626
23_02_21 13:05:26.140;110360;I;1210;1;1920;2;;b521;8629
23_02_21 13:06:29.087;112529;I;1210;1;1920;2;;b022;8880
23_02_21 13:06:40.709;114465;I;1210;1;1920;2;;b122;8881
23_02_21 13:08:31.507;114824;I;1210;1;1920;2;;b221;8626
23_02_21 13:10:07.474;118230;I;1210;1;1920;2;;b221;8626
23_02_21 13:10:49.871;121298;I;1210;1;1920;2;;b521;8629
23_02_21 13:11:19.839;122602;I;1210;1;1920;2;;b022;8880
23_02_21 13:11:22.532;123525;I;1210;1;1920;2;;b122;8881
23_02_21 13:11:33.623;123611;I;1210;1;1920;2;;b221;8626
23_02_21 13:12:17.622;123953;I;1210;1;1920;2;;b221;8626
23_02_21 13:12:55.044;125333;I;1210;1;1920;2;;b521;8629
