Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;torque;time
23_02_21 12:15:41.906;0;O;1;1210;21B2;6;ERR;6f12833ad007;0.0010000000474974513;2000
23_02_21 12:18:17.097;19058;O;1;1210;21B2;6;ERR;6f12833aa861;0.0010000000474974513;25000
23_02_21 12:19:13.848;23928;O;1;1210;21B2;6;ERR;6f1283bac8af;-0.0010000000474974513;45000
23_02_21 12:27:09.104;25721;O;1;1210;21B2;6;ERR;acc5273760ea;9.999999747378752e-06;60000
23_02_21 12:28:26.662;40307;O;1;1210;21B2;6;ERR;acc5273760ea;9.999999747378752e-06;60000
23_02_21 12:31:50.130;44422;O;1;1210;21B2;6;ERR;17b7d13860ea;9.999999747378752e-05;60000
23_02_21 12:33:58.007;49686;O;1;1210;21B2;6;ERR;17b7d1b860ea;-9.999999747378752e-05;60000
23_02_21 12:37:13.843;53755;O;1;1210;21B2;6;ERR;6f12033a60ea;0.0005000000237487257;60000
23_02_21 12:38:33.753;60643;O;1;1210;21B2;6;ERR;6f1203ba60ea;-0.0005000000237487257;60000
23_02_21 12:41:42.862;62828;O;1;1210;21B2;6;ERR;6f12833a409c;0.0010000000474974513;40000
23_02_21 12:42:27.068;68164;O;1;1210;21B2;6;ERR;6f1283ba409c;-0.0010000000474974513;40000
23_02_21 12:45:48.720;69681;O;1;1210;21B2;6;ERR;6f12033b3075;0.0020000000949949026;30000
23_02_21 12:48:08.854;77621;O;1;1210;21B2;6;ERR;6f1203bb3075;-0.0020000000949949026;30000
23_02_21 12:49:25.731;79909;O;1;1210;21B2;6;ERR;6f12833b3075;0.004000000189989805;30000
23_02_21 12:50:03.658;82706;O;1;1210;21B2;6;ERR;6f1283bb3075;-0.004000000189989805;30000
23_02_21 12:55:09.261;84063;O;1;1210;21B2;6;ERR;6f12833a60ea;0.0010000000474974513;60000
23_02_21 12:56:05.499;93137;O;1;1210;21B2;6;ERR;6f1283ba60ea;-0.0010000000474974513;60000
23_02_21 12:59:46.870;94918;O;1;1210;21B2;6;ERR;6f12833a3075;0.0010000000474974513;30000
23_02_21 13:01:59.948;101768;O;1;1210;21B2;6;ERR;6f12833a3075;0.0010000000474974513;30000
23_02_21 13:04:17.248;105935;O;1;1210;21B2;6;ERR;6f1283ba3075;-0.0010000000474974513;30000
23_02_21 13:08:31.490;110359;O;1;1210;21B2;6;ERR;6f12833a3075;0.0010000000474974513;30000
23_02_21 13:10:07.458;118229;O;1;1210;21B2;6;ERR;6f1283ba3075;-0.0010000000474974513;30000
23_02_21 13:11:33.608;121297;O;1;1210;21B2;6;ERR;6f12833a3075;0.0010000000474974513;30000
23_02_21 13:12:17.606;123952;O;1;1210;21B2;6;ERR;6f1283ba3075;-0.0010000000474974513;30000
