Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;msg_id
23_02_21 12:08:27.868;0;I;1220;1;1920;2;;be22;8894
23_02_21 12:08:45.750;5769;I;1220;1;1920;2;;c019;6592
23_02_21 12:11:17.311;6316;I;1220;1;1920;2;;3519;6453
23_02_21 12:29:03.716;10934;I;1220;1;1920;2;;b021;8624
23_02_21 12:29:23.269;43801;I;1220;1;1920;2;;b221;8626
23_02_21 12:31:09.841;44423;I;1220;1;1920;2;;b521;8629
23_02_21 12:32:08.080;47913;I;1220;1;1920;2;;b221;8626
23_02_21 12:34:15.102;49688;I;1220;1;1920;2;;b221;8626
23_02_21 12:38:02.844;53756;I;1220;1;1920;2;;b221;8626
23_02_21 12:39:12.431;60644;I;1220;1;1920;2;;b221;8626
23_02_21 12:41:11.180;62829;I;1220;1;1920;2;;b521;8629
23_02_21 12:41:58.825;66712;I;1220;1;1920;2;;b221;8626
23_02_21 12:42:46.186;68165;I;1220;1;1920;2;;b221;8626
23_02_21 12:43:37.480;69682;I;1220;1;1920;2;;b521;8629
23_02_21 12:46:47.631;71259;I;1220;1;1920;2;;b221;8626
23_02_21 12:47:00.966;77186;I;1220;1;1920;2;;b221;8626
23_02_21 12:48:32.804;77622;I;1220;1;1920;2;;b521;8629
23_02_21 12:49:37.064;80682;I;1220;1;1920;2;;b221;8626
23_02_21 12:50:17.457;82707;I;1220;1;1920;2;;b221;8626
23_02_21 12:50:41.704;84064;I;1220;1;1920;2;;b021;8624
23_02_21 12:51:38.482;84877;I;1220;1;1920;2;;b122;8881
23_02_21 12:51:51.366;86638;I;1220;1;1920;2;;b122;8881
23_02_21 12:51:54.161;87036;I;1220;1;1920;2;;b122;8881
23_02_21 12:51:57.482;87127;I;1220;1;1920;2;;b122;8881
23_02_21 12:52:01.101;87232;I;1220;1;1920;2;;b122;8881
23_02_21 12:52:04.099;87346;I;1220;1;1920;2;;b122;8881
