Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;torque;time
23_02_21 12:29:23.254;42690;O;1;1220;21B2;6;ERR;acc5273760ea;9.999999747378752e-06;60000
23_02_21 12:32:08.065;49149;O;1;1220;21B2;6;ERR;17b7d13860ea;9.999999747378752e-05;60000
23_02_21 12:34:15.087;53213;O;1;1220;21B2;6;ERR;17b7d1b860ea;-9.999999747378752e-05;60000
23_02_21 12:38:02.826;59159;O;1;1220;21B2;6;ERR;6f12033a60ea;0.0005000000237487257;60000
23_02_21 12:39:12.416;61628;O;1;1220;21B2;6;ERR;6f1203ba60ea;-0.0005000000237487257;60000
23_02_21 12:41:58.797;67687;O;1;1220;21B2;6;ERR;6f12833a409c;0.0010000000474974513;40000
23_02_21 12:42:46.172;69072;O;1;1220;21B2;6;ERR;6f1283ba409c;-0.0010000000474974513;40000
23_02_21 12:46:47.614;75294;O;1;1220;21B2;6;ERR;6f12033b3075;0.0020000000949949026;30000
23_02_21 12:47:00.950;77185;O;1;1220;21B2;6;ERR;6f1203bb3075;-0.0020000000949949026;30000
23_02_21 12:49:37.051;82350;O;1;1220;21B2;6;ERR;6f12833b3075;0.004000000189989805;30000
23_02_21 12:50:17.442;83612;O;1;1220;21B2;6;ERR;6f1283bb3075;-0.004000000189989805;30000
