Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angularRate
23_02_21 12:05:38.938;0;I;1220;808;2100;4;;bd0c623c;0.013796982355415821
23_02_21 12:05:39.055;0;I;1220;808;2100;4;;e415e73d;0.11283472180366516
23_02_21 12:05:39.185;0;I;1220;808;2100;4;;0cab9c3c;0.019124530255794525
23_02_21 12:05:39.316;0;I;1220;808;2100;4;;cb33cb3d;0.09921988099813461
23_02_21 12:05:39.446;0;I;1220;808;2100;4;;c830d93d;0.10605007410049438
23_02_21 12:05:39.575;0;I;1220;808;2100;4;;5f7ac03d;0.09398340433835983
23_02_21 12:05:39.707;0;I;1220;808;2100;4;;b51694bc;-0.01807723380625248
23_02_21 12:05:39.837;0;I;1220;808;2100;4;;b94fc83d;0.09780830889940262
23_02_21 12:05:39.968;0;I;1220;808;2100;4;;dd5da6bc;-0.02030842937529087
23_02_21 12:05:40.098;0;I;1220;808;2100;4;;5038b63d;0.08897459506988525
23_02_21 12:05:40.229;0;I;1220;808;2100;4;;54bf0dbc;-0.008651573210954666
23_02_21 12:05:40.359;0;I;1220;808;2100;4;;06f634be;-0.1767197549343109
23_02_21 12:05:40.489;0;I;1220;808;2100;4;;7fa0cd3d;0.10040377825498581
23_02_21 12:05:40.620;0;I;1220;808;2100;4;;0c2737be;-0.1788598895072937
23_02_21 12:05:40.750;0;I;1220;808;2100;4;;864d03bb;-0.0020035221241414547
23_02_21 12:05:40.882;0;I;1220;808;2100;4;;f4722bbe;-0.16743069887161255
23_02_21 12:05:41.010;0;I;1220;808;2100;4;;f624a13a;0.0012294340413063765
23_02_21 12:05:41.141;0;I;1220;808;2100;4;;864d83ba;-0.0010017610620707273
23_02_21 12:05:41.271;0;I;1220;808;2100;4;;0c4aa33d;0.07973107695579529
23_02_21 12:05:41.406;0;I;1220;808;2100;4;;e6ea48be;-0.19620856642723083
23_02_21 12:05:41.530;0;I;1220;808;2100;4;;dd55dbbb;-0.006693585310131311
23_02_21 12:05:41.668;0;I;1220;808;2100;4;;1aaf19bc;-0.009380126371979713
23_02_21 12:05:41.791;0;I;1220;808;2100;4;;49b637be;-0.1794063001871109
23_02_21 12:05:41.918;0;I;1220;808;2100;4;;71fdc93d;0.09862793236970901
23_02_21 12:05:42.048;0;I;1220;808;2100;4;;17e2e93d;0.11420076340436935
23_02_21 12:05:42.178;0;I;1220;808;2100;4;;7c7a6f3c;0.014616604894399643
23_02_21 12:05:42.307;0;I;1220;808;2100;4;;0544bf3d;0.09339145570993423
23_02_21 12:05:42.436;0;I;1220;808;2100;4;;b2cdc93d;0.09853686392307281
23_02_21 12:05:42.565;0;I;1220;808;2100;4;;7c5fce3d;0.1007680594921112
23_02_21 12:05:42.695;0;I;1220;808;2100;4;;b995a03d;0.0784105733036995
23_02_21 12:05:42.824;0;I;1220;808;2100;4;;620118bd;-0.037110693752765656
23_02_21 12:05:42.952;0;I;1220;808;2100;4;;2192913d;0.07107950001955032
23_02_21 12:05:43.080;0;I;1220;808;2100;4;;744614bd;-0.03620000183582306
23_02_21 12:05:43.211;0;I;1220;808;2100;4;;37188d3d;0.06889384239912033
23_02_21 12:05:43.341;0;I;1220;808;2100;4;;d2bd943d;0.07262767851352692
23_02_21 12:05:43.470;0;I;1220;808;2100;4;;9906cfbd;-0.1010868027806282
23_02_21 12:05:43.598;0;I;1220;808;2100;4;;2d68653d;0.05600755289196968
23_02_21 12:05:43.727;0;I;1220;808;2100;4;;30e7713d;0.05905836820602417
23_02_21 12:05:43.855;0;I;1220;808;2100;4;;71fd493d;0.04931396618485451
23_02_21 12:05:43.984;0;I;1220;808;2100;4;;346e493d;0.04917736351490021
23_02_21 12:05:44.114;0;I;1220;808;2100;4;;cf515e3d;0.05427723750472069
23_02_21 12:05:44.243;0;I;1220;808;2100;4;;7408873d;0.06593409180641174
23_02_21 12:05:44.372;0;I;1220;808;2100;4;;0ce15e3d;0.05441384017467499
23_02_21 12:05:44.501;0;I;1220;808;2100;4;;cf13513d;0.0510442815721035
23_02_21 12:05:44.631;0;I;1220;808;2100;4;;b606fe3c;0.03100905939936638
23_02_21 12:05:44.760;0;I;1220;808;2100;4;;da90f6bd;-0.12039346992969513
23_02_21 12:05:44.891;0;I;1220;808;2100;4;;a735833d;0.06406717747449875
23_02_21 12:05:45.021;0;I;1220;808;2100;4;;8ee2d7bd;-0.10541258752346039
23_02_21 12:05:45.150;0;I;1220;808;2100;4;;a773903d;0.07053308933973312
23_02_21 12:05:45.280;0;I;1220;808;2100;4;;ef87813d;0.06324755400419235
23_02_21 12:05:45.410;0;I;1220;808;2100;4;;8a7e6c3d;0.057737864553928375
23_02_21 12:05:45.541;0;I;1220;808;2100;4;;9c85dbbd;-0.10718843340873718
23_02_21 12:05:45.669;0;I;1220;808;2100;4;;bc98923d;0.07158038020133972
23_02_21 12:05:45.799;0;I;1220;808;2100;4;;25348a3d;0.06748227030038834
23_02_21 12:05:45.930;0;I;1220;808;2100;4;;30b1afbd;-0.08578717708587646
23_02_21 12:05:46.060;0;I;1220;808;2100;4;;c4589ebd;-0.0773177444934845
23_02_21 12:05:46.189;0;I;1220;808;2100;4;;8607abbd;-0.08351044356822968
23_02_21 12:05:46.323;0;I;1220;808;2100;4;;3b74ad3d;0.08469434827566147
23_02_21 12:05:46.449;0;I;1220;808;2100;4;;0cab9c3d;0.0764981210231781
23_02_21 12:05:46.578;0;I;1220;808;2100;4;;c00fd4bd;-0.1035456657409668
23_02_21 12:05:46.709;0;I;1220;808;2100;4;;d9d64e3d;0.050497863441705704
23_02_21 12:05:46.841;0;I;1220;808;2100;4;;b957133e;0.14388932287693024
23_02_21 12:05:46.969;0;I;1220;808;2100;4;;5038363d;0.04448729753494263
23_02_21 12:05:47.098;0;I;1220;808;2100;4;;2ea60b3e;0.13637611269950867
23_02_21 12:05:47.229;0;I;1220;808;2100;4;;2cae3d3d;0.04630868136882782
23_02_21 12:05:47.359;0;I;1220;808;2100;4;;fa5dd53c;0.0260457880795002
23_02_21 12:05:47.489;0;I;1220;808;2100;4;;25340a3d;0.03374113515019417
23_02_21 12:05:47.619;0;I;1220;808;2100;4;;58f076bc;-0.015071950852870941
23_02_21 12:05:47.749;0;I;1220;808;2100;4;;80f97b3d;0.06151723861694336
23_02_21 12:05:47.880;0;I;1220;808;2100;4;;467538bd;-0.045033715665340424
23_02_21 12:05:48.009;0;I;1220;808;2100;4;;627d32bd;-0.04357660561800003
23_02_21 12:05:48.140;0;I;1220;808;2100;4;;a75024bd;-0.04011597856879234
23_02_21 12:05:48.270;0;I;1220;808;2100;4;;13a16a3d;0.05728251859545708
23_02_21 12:05:48.401;0;I;1220;808;2100;4;;d254503d;0.0508621409535408
23_02_21 12:05:48.532;0;I;1220;808;2100;4;;850f5dbe;-0.21587951481342316
23_02_21 12:05:48.662;0;I;1220;808;2100;4;;0cab1cbc;-0.009562265127897263
23_02_21 12:05:48.819;0;I;1220;808;2100;4;;1a46d53d;0.1041376143693924
23_02_21 12:05:48.926;0;I;1220;808;2100;4;;fd223abd;-0.04544352367520332
23_02_21 12:05:49.053;0;I;1220;808;2100;4;;0cab1cbe;-0.1529962420463562
23_02_21 12:05:49.183;0;I;1220;808;2100;4;;e2501bbe;-0.1516757309436798
23_02_21 12:05:49.314;0;I;1220;808;2100;4;;c71d033d;0.032010819762945175
23_02_21 12:05:49.445;0;I;1220;808;2100;4;;03fb0dbe;-0.13865284621715546
23_02_21 12:05:49.576;0;I;1220;808;2100;4;;3e39123e;0.14279648661613464
23_02_21 12:05:49.705;0;I;1220;808;2100;4;;015ceebd;-0.11638642102479935
23_02_21 12:05:49.836;0;I;1220;808;2100;4;;5040813d;0.06311094760894775
23_02_21 12:05:49.966;0;I;1220;808;2100;4;;091c7a3d;0.06106189265847206
23_02_21 12:05:50.096;0;I;1220;808;2100;4;;17ac273e;0.16374240815639496
23_02_21 12:05:50.226;0;I;1220;808;2100;4;;c032c0bd;-0.09384679794311523
23_02_21 12:05:50.356;0;I;1220;808;2100;4;;8722ccbd;-0.09967523068189621
23_02_21 12:05:50.488;0;I;1220;808;2100;4;;625ac6bd;-0.09685207903385162
23_02_21 12:05:50.618;0;I;1220;808;2100;4;;34ac563d;0.052410319447517395
23_02_21 12:05:50.746;0;I;1220;808;2100;4;;a33211be;-0.14179472625255585
23_02_21 12:05:50.876;0;I;1220;808;2100;4;;281410be;-0.14070188999176025
23_02_21 12:05:51.006;0;I;1220;808;2100;4;;7408073d;0.03296704590320587
23_02_21 12:05:51.137;0;I;1220;808;2100;4;;8342463d;0.04840327426791191
23_02_21 12:05:51.266;0;I;1220;808;2100;4;;fa65203d;0.03915975242853165
23_02_21 12:05:51.397;0;I;1220;808;2100;4;;f6e613be;-0.14443573355674744
23_02_21 12:05:51.526;0;I;1220;808;2100;4;;8e89293d;0.04139094799757004
23_02_21 12:05:51.656;0;I;1220;808;2100;4;;055f603d;0.054778117686510086
23_02_21 12:05:51.787;0;I;1220;808;2100;4;;cb71d8bd;-0.10568579286336899
23_02_21 12:05:51.919;0;I;1220;808;2100;4;;c42de7bd;-0.11288025975227356
23_02_21 12:05:52.046;0;I;1220;808;2100;4;;7179e4bd;-0.11155975610017776
23_02_21 12:05:52.176;0;I;1220;808;2100;4;;e553f4bd;-0.11930064111948013
23_02_21 12:05:52.306;0;I;1220;808;2100;4;;d2925d3d;0.05409509688615799
23_02_21 12:05:52.436;0;I;1220;808;2100;4;;3e31473d;0.04863094538450241
23_02_21 12:05:52.565;0;I;1220;808;2100;4;;22294d3d;0.050088055431842804
23_02_21 12:05:52.698;0;I;1220;808;2100;4;;980e1a3e;0.15044629573822021
23_02_21 12:05:52.828;0;I;1220;808;2100;4;;c093393d;0.04530692100524902
23_02_21 12:05:52.958;0;I;1220;808;2100;4;;ce9f813d;0.06329308450222015
23_02_21 12:05:53.090;0;I;1220;808;2100;4;;dd93e8bd;-0.11356327682733536
23_02_21 12:05:53.219;0;I;1220;808;2100;4;;1b61f6bd;-0.12030240148305893
23_02_21 12:05:53.351;0;I;1220;808;2100;4;;059d6d3d;0.058011073619127274
23_02_21 12:05:53.482;0;I;1220;808;2100;4;;d26ff1bd;-0.11788906157016754
23_02_21 12:05:53.612;0;I;1220;808;2100;4;;0c5df9bd;-0.12175950407981873
23_02_21 12:05:53.743;0;I;1220;808;2100;4;;da2ffdbd;-0.12362642586231232
23_02_21 12:05:53.873;0;I;1220;808;2100;4;;d6954f3d;0.0506800040602684
23_02_21 12:05:54.004;0;I;1220;808;2100;4;;fbb61c3e;0.1530417650938034
23_02_21 12:05:54.136;0;I;1220;808;2100;4;;2d68653d;0.05600755289196968
23_02_21 12:05:54.267;0;I;1220;808;2100;4;;f3957e3d;0.06215472146868706
23_02_21 12:05:54.398;0;I;1220;808;2100;4;;cb4eecbd;-0.11538466066122055
23_02_21 12:05:54.529;0;I;1220;808;2100;4;;78e88c3d;0.06880277395248413
23_02_21 12:05:54.660;0;I;1220;808;2100;4;;78d8f6bd;-0.12053006887435913
23_02_21 12:05:54.792;0;I;1220;808;2100;4;;951efebd;-0.12408176809549332
23_02_21 12:05:54.924;0;I;1220;808;2100;4;;6a7b4b3d;0.049678243696689606
23_02_21 12:05:55.056;0;I;1220;808;2100;4;;8ec7363d;0.044623903930187225
23_02_21 12:05:55.187;0;I;1220;808;2100;4;;d29a283d;0.04116327315568924
23_02_21 12:05:55.319;0;I;1220;808;2100;4;;ae5608be;-0.13314315676689148
23_02_21 12:05:55.452;0;I;1220;808;2100;4;;8e43513d;0.0510898157954216
23_02_21 12:05:55.584;0;I;1220;808;2100;4;;a06d2c3e;0.16838693618774414
23_02_21 12:05:55.715;0;I;1220;808;2100;4;;b957933d;0.07194466143846512
23_02_21 12:05:55.848;0;I;1220;808;2100;4;;c738a43d;0.08018641918897629
23_02_21 12:05:55.981;0;I;1220;808;2100;4;;088d893d;0.06716352701187134
23_02_21 12:05:56.112;0;I;1220;808;2100;4;;6262913d;0.07098843157291412
23_02_21 12:05:56.292;0;I;1220;808;2100;4;;b2f0b53d;0.08883799612522125
