Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;torque
23_02_21 12:05:38.990;0;I;1220;808;2101;4;;c3398335;9.77707145466411e-07
23_02_21 12:05:39.121;0;I;1220;808;2101;4;;d233ab36;5.102229806652758e-06
23_02_21 12:05:39.251;0;I;1220;808;2101;4;;c23e01b7;-7.703611117904074e-06
23_02_21 12:05:39.381;0;I;1220;808;2101;4;;f9fa9a36;4.6187747102521826e-06
23_02_21 12:05:39.511;0;I;1220;808;2101;4;;68b91d35;5.875685928913299e-07
23_02_21 12:05:39.641;0;I;1220;808;2101;4;;44f66736;3.4565027817734517e-06
23_02_21 12:05:39.772;0;I;1220;808;2101;4;;87a102b7;-7.786212336213794e-06
23_02_21 12:05:39.902;0;I;1220;808;2101;4;;48bb7ab6;-3.7361915019573644e-06
23_02_21 12:05:40.033;0;I;1220;808;2101;4;;611d8736;4.026733677164884e-06
23_02_21 12:05:40.163;0;I;1220;808;2101;4;;14cf8236;3.898408976965584e-06
23_02_21 12:05:40.294;0;I;1220;808;2101;4;;6642e6b6;-6.86226394464029e-06
23_02_21 12:05:40.425;0;I;1220;808;2101;4;;a0df9a36;4.615591024048626e-06
23_02_21 12:05:40.555;0;I;1220;808;2101;4;;d1596ab5;-8.730249305699544e-07
23_02_21 12:05:40.685;0;I;1220;808;2101;4;;5afe9936;4.589365744323004e-06
23_02_21 12:05:40.816;0;I;1220;808;2101;4;;5589f5b6;-7.317556537600467e-06
23_02_21 12:05:40.946;0;I;1220;808;2101;4;;0d36ecb6;-7.03964042259031e-06
23_02_21 12:05:41.076;0;I;1220;808;2101;4;;3c588e36;4.242201612214558e-06
23_02_21 12:05:41.206;0;I;1220;808;2101;4;;e28a7636;3.673769697343232e-06
23_02_21 12:05:41.341;0;I;1220;808;2101;4;;6aad0cb7;-8.385026376345195e-06
23_02_21 12:05:41.467;0;I;1220;808;2101;4;;bddde0b4;-4.1884587176355126e-07
23_02_21 12:05:41.601;0;I;1220;808;2101;4;;7d818b36;4.157597231824184e-06
23_02_21 12:05:41.728;0;I;1220;808;2101;4;;9853c6b4;-3.6941196412954014e-07
23_02_21 12:05:41.855;0;I;1220;808;2101;4;;360901b7;-7.691143764532171e-06
23_02_21 12:05:41.983;0;I;1220;808;2101;4;;ce4adeb6;-6.624823981837835e-06
23_02_21 12:05:42.114;0;I;1220;808;2101;4;;37909b36;4.636148787540151e-06
23_02_21 12:05:42.243;0;I;1220;808;2101;4;;ade9e8b3;-1.0845847242535456e-07
23_02_21 12:05:42.371;0;I;1220;808;2101;4;;15040034;1.1922413989395864e-07
23_02_21 12:05:42.504;0;I;1220;808;2101;4;;ed9aa9b2;-1.9744641477359437e-08
23_02_21 12:05:42.629;0;I;1220;808;2101;4;;b2856236;3.3754445212252904e-06
23_02_21 12:05:42.758;0;I;1220;808;2101;4;;17003136;2.6375107609055704e-06
23_02_21 12:05:42.887;0;I;1220;808;2101;4;;e894f8b5;-1.8520777302910574e-06
23_02_21 12:05:43.016;0;I;1220;808;2101;4;;03ab2b36;2.5580527562851785e-06
23_02_21 12:05:43.145;0;I;1220;808;2101;4;;5a506136;3.35743834511959e-06
23_02_21 12:05:43.276;0;I;1220;808;2101;4;;2c925136;3.122851012449246e-06
23_02_21 12:05:43.405;0;I;1220;808;2101;4;;9ff15c36;3.2923196613410255e-06
23_02_21 12:05:43.534;0;I;1220;808;2101;4;;9a052c36;2.5633257791923825e-06
23_02_21 12:05:43.662;0;I;1220;808;2101;4;;67400f36;2.1346147605072474e-06
23_02_21 12:05:43.791;0;I;1220;808;2101;4;;85bd0936;2.052490572168608e-06
23_02_21 12:05:43.928;0;I;1220;808;2101;4;;858a0236;1.9452138531050878e-06
23_02_21 12:05:44.049;0;I;1220;808;2101;4;;eb2dbcb6;-5.608182163996389e-06
23_02_21 12:05:44.178;0;I;1220;808;2101;4;;48a13f36;2.8555095923366025e-06
23_02_21 12:05:44.307;0;I;1220;808;2101;4;;4ecf2436;2.455857156746788e-06
23_02_21 12:05:44.436;0;I;1220;808;2101;4;;fe8ba9b6;-5.052889719081577e-06
23_02_21 12:05:44.565;0;I;1220;808;2101;4;;26d09335;1.1012932645826368e-06
23_02_21 12:05:44.697;0;I;1220;808;2101;4;;616cf936;7.433395239786478e-06
23_02_21 12:05:44.826;0;I;1220;808;2101;4;;dc5b87b6;-4.034007361042313e-06
23_02_21 12:05:44.956;0;I;1220;808;2101;4;;7fa48fb6;-4.28088196713361e-06
23_02_21 12:05:45.086;0;I;1220;808;2101;4;;95254e36;3.0718267680640565e-06
23_02_21 12:05:45.214;0;I;1220;808;2101;4;;da0c3336;2.6680559130909387e-06
23_02_21 12:05:45.345;0;I;1220;808;2101;4;;d4099db6;-4.680108759202994e-06
23_02_21 12:05:45.475;0;I;1220;808;2101;4;;dd112436;2.4448302156088175e-06
23_02_21 12:05:45.605;0;I;1220;808;2101;4;;89c990b6;-4.31499620390241e-06
23_02_21 12:05:45.734;0;I;1220;808;2101;4;;cde44a36;3.023352519448963e-06
23_02_21 12:05:45.864;0;I;1220;808;2101;4;;0f356fb6;-3.5644659419631353e-06
23_02_21 12:05:45.995;0;I;1220;808;2101;4;;b1e35fb6;-3.336212330395938e-06
23_02_21 12:05:46.125;0;I;1220;808;2101;4;;2ccb1037;8.630373486084864e-06
23_02_21 12:05:46.254;0;I;1220;808;2101;4;;08b074b6;-3.646129698609002e-06
23_02_21 12:05:46.383;0;I;1220;808;2101;4;;6d3e3c36;2.8050519631506177e-06
23_02_21 12:05:46.514;0;I;1220;808;2101;4;;243e82b6;-3.8815360312582925e-06
23_02_21 12:05:46.643;0;I;1220;808;2101;4;;407eacb6;-5.140696885064244e-06
23_02_21 12:05:46.774;0;I;1220;808;2101;4;;930fc335;1.4533164858221426e-06
23_02_21 12:05:46.905;0;I;1220;808;2101;4;;2493d6b6;-6.394826414179988e-06
23_02_21 12:05:47.033;0;I;1220;808;2101;4;;8c26c8b6;-5.96495192439761e-06
23_02_21 12:05:47.163;0;I;1220;808;2101;4;;33b5d835;1.6145990002769395e-06
23_02_21 12:05:47.295;0;I;1220;808;2101;4;;2d5cf735;1.8429760757499025e-06
23_02_21 12:05:47.424;0;I;1220;808;2101;4;;6554b636;5.433847491076449e-06
23_02_21 12:05:47.555;0;I;1220;808;2101;4;;c90f8636;3.995348833996104e-06
23_02_21 12:05:47.683;0;I;1220;808;2101;4;;d83de6b5;-1.715433427307289e-06
23_02_21 12:05:47.815;0;I;1220;808;2101;4;;4e4f34b6;-2.6868251552514266e-06
23_02_21 12:05:47.945;0;I;1220;808;2101;4;;05c21cb6;-2.3358745693258243e-06
23_02_21 12:05:48.074;0;I;1220;808;2101;4;;ca08deb5;-1.6542846879019635e-06
23_02_21 12:05:48.205;0;I;1220;808;2101;4;;8c960ab6;-2.0651232262025587e-06
23_02_21 12:05:48.335;0;I;1220;808;2101;4;;5c301136;2.1634832592098974e-06
23_02_21 12:05:48.466;0;I;1220;808;2101;4;;e99fe735;1.725738115965214e-06
23_02_21 12:05:48.597;0;I;1220;808;2101;4;;16cf57b6;-3.2158036447071936e-06
23_02_21 12:05:48.727;0;I;1220;808;2101;4;;de9ff0b6;-7.1711683631292544e-06
23_02_21 12:05:48.865;0;I;1220;808;2101;4;;fb20b936;5.517269073607167e-06
23_02_21 12:05:48.988;0;I;1220;808;2101;4;;82e9b835;1.3777028016193071e-06
23_02_21 12:05:49.118;0;I;1220;808;2101;4;;c5db4b35;7.594319981762965e-07
23_02_21 12:05:49.249;0;I;1220;808;2101;4;;a101b8b6;-5.483816948981257e-06
23_02_21 12:05:49.380;0;I;1220;808;2101;4;;8ef9a135;1.2068064734194195e-06
23_02_21 12:05:49.511;0;I;1220;808;2101;4;;4bdb0736;2.024421291935141e-06
23_02_21 12:05:49.640;0;I;1220;808;2101;4;;25cd2736;2.500434902685811e-06
23_02_21 12:05:49.771;0;I;1220;808;2101;4;;67253336;2.6694849566410994e-06
23_02_21 12:05:49.904;0;I;1220;808;2101;4;;44ada2b6;-4.848147000302561e-06
23_02_21 12:05:50.031;0;I;1220;808;2101;4;;e5242936;2.5204437861248152e-06
23_02_21 12:05:50.161;0;I;1220;808;2101;4;;532f6236;3.370417061887565e-06
23_02_21 12:05:50.292;0;I;1220;808;2101;4;;d51f8236;3.878007646562764e-06
23_02_21 12:05:50.423;0;I;1220;808;2101;4;;0c998eb6;-4.249746780260466e-06
23_02_21 12:05:50.553;0;I;1220;808;2101;4;;91953e36;2.8399265374901006e-06
23_02_21 12:05:50.682;0;I;1220;808;2101;4;;547aa835;1.2552577572932933e-06
23_02_21 12:05:50.812;0;I;1220;808;2101;4;;5b7bad36;5.170162239664933e-06
23_02_21 12:05:50.941;0;I;1220;808;2101;4;;7438ce35;1.5364626051450614e-06
23_02_21 12:05:51.071;0;I;1220;808;2101;4;;da7dec35;1.7619997834117385e-06
23_02_21 12:05:51.202;0;I;1220;808;2101;4;;cd1a0136;1.9238098047935637e-06
23_02_21 12:05:51.331;0;I;1220;808;2101;4;;02ef0336;1.9659642020997126e-06
23_02_21 12:05:51.461;0;I;1220;808;2101;4;;6ed9d1b6;-6.253997526073363e-06
23_02_21 12:05:51.591;0;I;1220;808;2101;4;;e9c2b3b6;-5.357306235964643e-06
23_02_21 12:05:51.721;0;I;1220;808;2101;4;;d3804636;2.9579284728242783e-06
23_02_21 12:05:51.851;0;I;1220;808;2101;4;;76445136;3.1183276405499782e-06
23_02_21 12:05:51.981;0;I;1220;808;2101;4;;967692b6;-4.364944288681727e-06
23_02_21 12:05:52.111;0;I;1220;808;2101;4;;5ad6a9b6;-5.061546289653052e-06
23_02_21 12:05:52.241;0;I;1220;808;2101;4;;b1b82936;2.5290466965088854e-06
23_02_21 12:05:52.371;0;I;1220;808;2101;4;;10b2b4b6;-5.385147233027965e-06
23_02_21 12:05:52.501;0;I;1220;808;2101;4;;554a24b7;-9.7924685178441e-06
23_02_21 12:05:52.632;0;I;1220;808;2101;4;;224bb3b6;-5.343362317944411e-06
23_02_21 12:05:52.763;0;I;1220;808;2101;4;;eb4a1136;2.165029172829236e-06
23_02_21 12:05:52.893;0;I;1220;808;2101;4;;0855bbb6;-5.58293322683312e-06
23_02_21 12:05:53.024;0;I;1220;808;2101;4;;4bf84536;2.9499813081201864e-06
23_02_21 12:05:53.156;0;I;1220;808;2101;4;;444e3736;2.7314681574353017e-06
23_02_21 12:05:53.284;0;I;1220;808;2101;4;;a3581e36;2.359542804697412e-06
23_02_21 12:05:53.415;0;I;1220;808;2101;4;;2a4c0836;2.0309912542870734e-06
23_02_21 12:05:53.547;0;I;1220;808;2101;4;;96a8a2b6;-4.847602212976199e-06
23_02_21 12:05:53.678;0;I;1220;808;2101;4;;6c7eb0b6;-5.2599261834984645e-06
23_02_21 12:05:53.808;0;I;1220;808;2101;4;;93efafb6;-5.243296527623897e-06
23_02_21 12:05:53.940;0;I;1220;808;2101;4;;15b1b2b6;-5.325428446667502e-06
23_02_21 12:05:54.071;0;I;1220;808;2101;4;;4d371236;2.1787884634250076e-06
23_02_21 12:05:54.207;0;I;1220;808;2101;4;;a2179cb6;-4.651913513953332e-06
23_02_21 12:05:54.331;0;I;1220;808;2101;4;;69751a36;2.3016129944153363e-06
23_02_21 12:05:54.463;0;I;1220;808;2101;4;;fda34436;2.930172968262923e-06
23_02_21 12:05:54.595;0;I;1220;808;2101;4;;c29e1c36;2.3338220671575982e-06
23_02_21 12:05:54.725;0;I;1220;808;2101;4;;ac69ce36;6.151580237201415e-06
23_02_21 12:05:54.858;0;I;1220;808;2101;4;;a2d4ee35;1.7794266113924095e-06
23_02_21 12:05:54.990;0;I;1220;808;2101;4;;12701436;2.2118952074379195e-06
23_02_21 12:05:55.122;0;I;1220;808;2101;4;;1c1eca36;6.023574314895086e-06
23_02_21 12:05:55.253;0;I;1220;808;2101;4;;67fdc8b6;-5.989964392938418e-06
23_02_21 12:05:55.386;0;I;1220;808;2101;4;;cf1cd936;6.4704577198426705e-06
23_02_21 12:05:55.518;0;I;1220;808;2101;4;;9c68adb6;-5.1679799071280286e-06
23_02_21 12:05:55.649;0;I;1220;808;2101;4;;ca2e6536;3.4150893952755723e-06
23_02_21 12:05:55.781;0;I;1220;808;2101;4;;707885b6;-3.977729647886008e-06
23_02_21 12:05:55.915;0;I;1220;808;2101;4;;344e87b6;-4.032417564303614e-06
23_02_21 12:05:56.045;0;I;1220;808;2101;4;;8840f036;7.160069799283519e-06
23_02_21 12:05:56.177;0;I;1220;808;2101;4;;3f4b82b6;-3.883061708620517e-06
23_02_21 12:05:56.309;0;I;1220;808;2101;4;;540a76b6;-3.6662868296843953e-06
23_02_21 12:05:56.441;0;I;1220;808;2101;4;;d37169b6;-3.4785959996952442e-06
23_02_21 12:05:56.573;0;I;1220;808;2101;4;;ad943936;2.7653688903228613e-06
23_02_21 12:05:56.706;0;I;1220;808;2101;4;;4c76a8b6;-5.020561729907058e-06
23_02_21 12:05:56.838;0;I;1220;808;2101;4;;5ef82836;2.517851953598438e-06
23_02_21 12:05:56.970;0;I;1220;808;2101;4;;57ad0f36;2.1409557575680083e-06
23_02_21 12:05:57.101;0;I;1220;808;2101;4;;17fb3b36;2.8011324957333272e-06
23_02_21 12:05:57.232;0;I;1220;808;2101;4;;acb21f36;2.3796847017365508e-06
23_02_21 12:05:57.365;0;I;1220;808;2101;4;;e6f52836;2.5177082534355577e-06
23_02_21 12:05:57.496;0;I;1220;808;2101;4;;e6b02f36;2.618000053189462e-06
23_02_21 12:05:57.629;0;I;1220;808;2101;4;;cb01c7b6;-5.930870884185424e-06
23_02_21 12:05:57.761;0;I;1220;808;2101;4;;fb0ad8b6;-6.438579930545529e-06
23_02_21 12:05:57.891;0;I;1220;808;2101;4;;a4de9535;1.1166162039444316e-06
23_02_21 12:05:58.023;0;I;1220;808;2101;4;;ce0ccfb6;-6.1705713960691355e-06
23_02_21 12:05:58.155;0;I;1220;808;2101;4;;60867d35;9.444538591196761e-07
23_02_21 12:05:58.287;0;I;1220;808;2101;4;;15e17135;9.010703365674999e-07
23_02_21 12:05:58.418;0;I;1220;808;2101;4;;4d4f8a35;1.0304880788680748e-06
23_02_21 12:05:58.549;0;I;1220;808;2101;4;;b5eee635;1.7205808262588107e-06
23_02_21 12:05:58.683;0;I;1220;808;2101;4;;05452e36;2.5968195132008987e-06
23_02_21 12:05:58.822;0;I;1220;808;2101;4;;64814336;2.9132579584256746e-06
23_02_21 12:05:58.951;0;I;1220;808;2101;4;;d68392b6;-4.366486791695934e-06
23_02_21 12:05:59.091;0;I;1220;808;2101;4;;2cdd94b6;-4.436491508386098e-06
23_02_21 12:05:59.263;0;I;1220;808;2101;4;;47dd1236;2.1884495708945906e-06
23_02_21 12:05:59.349;0;I;1220;808;2101;4;;6ad3a4b6;-4.9121927077067085e-06
23_02_21 12:05:59.475;0;I;1220;808;2101;4;;2d834a36;3.0176699965522857e-06
23_02_21 12:05:59.608;0;I;1220;808;2101;4;;023510b7;-8.595410690759309e-06
23_02_21 12:05:59.740;0;I;1220;808;2101;4;;ecd88eb6;-4.2571828089421615e-06
