Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;regular1_data.mag.x;regular1_data.mag.y;regular1_data.mag.z;temperature1;temperature2
23_03_21 11:34:19.785;0;I;1008;808;2903;20;;b6ad4345149c08c8084e32464eba05420000ef41;3130.85693359375;-139888.3125;11411.5078125;33.43193817138672;29.875
23_03_21 11:34:19.819;0;I;1008;808;2903;20;;83bd4345c99b08c83f4032464eba05420000ef41;3131.844482421875;-139887.140625;11408.0615234375;33.43193817138672;29.875
23_03_21 11:34:19.916;0;I;1008;808;2903;20;;40b843458e9b08c8404132464eba05420000ef41;3131.515625;-139886.21875;11408.3125;33.43193817138672;29.875
23_03_21 11:34:20.016;0;I;1008;808;2903;20;;38ba4345869b08c87f4132464eba05420000ef41;3131.638671875;-139886.09375;11408.3740234375;33.43193817138672;29.875
23_03_21 11:34:20.116;0;I;1008;808;2903;20;;34c74345879b08c8a84132464eba05420000ef41;3132.4501953125;-139886.109375;11408.4140625;33.43193817138672;29.875
23_03_21 11:34:20.221;0;I;1008;808;2903;20;;dfd34345439b08c8924d32460d6d04420000ef41;3133.241943359375;-139885.046875;11411.392578125;33.10649490356445;29.875
23_03_21 11:34:20.321;0;I;1008;808;2903;20;;c6d243457d9b08c8eb5832460d6d04420000ef41;3133.17333984375;-139885.953125;11414.2294921875;33.10649490356445;29.875
23_03_21 11:34:20.422;0;I;1008;808;2903;20;;f4ca4345539b08c8565f32460d6d04420000ef41;3132.6845703125;-139885.296875;11415.833984375;33.10649490356445;29.875
23_03_21 11:34:20.523;0;I;1008;808;2903;20;;ccd44345fe9a08c86e5f32460d6d04420000ef41;3133.2998046875;-139883.96875;11415.857421875;33.10649490356445;29.875
23_03_21 11:34:20.628;0;I;1008;808;2903;20;;61de43453a9b08c8fd5032460d6d04420000ef41;3133.898681640625;-139884.90625;11412.2470703125;33.10649490356445;29.875
23_03_21 11:34:20.731;0;I;1008;808;2903;20;;6ce643455b9b08c87e5032460d6d04420000ef41;3134.4013671875;-139885.421875;11412.123046875;33.10649490356445;29.875
23_03_21 11:34:20.830;0;I;1008;808;2903;20;;79e34345829b08c8664032460d6d04420000ef41;3134.217041015625;-139886.03125;11408.099609375;33.10649490356445;29.875
23_03_21 11:34:20.931;0;I;1008;808;2903;20;;00e043450d9c08c8293332460d6d04420000ef41;3134.0;-139888.203125;11404.7900390625;33.10649490356445;29.875
23_03_21 11:34:21.038;0;I;1008;808;2903;20;;f0e043453c9c08c85c3332460d6d04420000ef41;3134.05859375;-139888.9375;11404.83984375;33.10649490356445;29.875
23_03_21 11:34:21.136;0;I;1008;808;2903;20;;d4de4345459c08c8ea3332460d6d04420000ef41;3133.9267578125;-139889.078125;11404.978515625;33.10649490356445;29.875
23_03_21 11:34:21.237;0;I;1008;808;2903;20;;63df4345349c08c8253932464a8500420000ef41;3133.961669921875;-139888.8125;11406.2861328125;32.130165100097656;29.875
23_03_21 11:34:21.336;0;I;1008;808;2903;20;;22e943454c9c08c84d3132464a8500420000ef41;3134.57080078125;-139889.1875;11404.3251953125;32.130165100097656;29.875
