Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;torque
23_03_21 11:53:00.243;0;I;1210;808;2101;4;;82a9ab35;1.2789826087100664e-06
23_03_21 11:53:00.363;0;I;1210;808;2101;4;;9e02b635;1.3560818388214102e-06
23_03_21 11:53:00.493;0;I;1210;808;2101;4;;6c929535;1.1143979463668074e-06
23_03_21 11:53:00.623;0;I;1210;808;2101;4;;67b4a035;1.1973432947343099e-06
23_03_21 11:53:00.753;0;I;1210;808;2101;4;;079d9e35;1.181761831503536e-06
23_03_21 11:53:00.881;0;I;1210;808;2101;4;;978cb5b6;-5.410587164078606e-06
23_03_21 11:53:01.012;0;I;1210;808;2101;4;;2954a035;1.1945422784265247e-06
23_03_21 11:53:01.141;0;I;1210;808;2101;4;;0c00a435;1.2218965821375605e-06
23_03_21 11:53:01.269;0;I;1210;808;2101;4;;eed9f3b5;-1.8168336737289792e-06
23_03_21 11:53:01.398;0;I;1210;808;2101;4;;ad9ccd35;1.531928887743561e-06
23_03_21 11:53:01.529;0;I;1210;808;2101;4;;49f0b035;1.3182954035073635e-06
23_03_21 11:53:01.657;0;I;1210;808;2101;4;;5b84b535;1.3524071391657344e-06
23_03_21 11:53:01.787;0;I;1210;808;2101;4;;24a49f35;1.189419435831951e-06
23_03_21 11:53:01.913;0;I;1210;808;2101;4;;8901d6b5;-1.5944689266689238e-06
23_03_21 11:53:02.043;0;I;1210;808;2101;4;;4ac0deb5;-1.6596252407907741e-06
23_03_21 11:53:02.173;0;I;1210;808;2101;4;;af0f6936;3.4728834634734085e-06
23_03_21 11:53:02.302;0;I;1210;808;2101;4;;1c0954b6;-3.1595764085068367e-06
23_03_21 11:53:02.431;0;I;1210;808;2101;4;;4d9e8c35;1.0476884426680044e-06
23_03_21 11:53:02.561;0;I;1210;808;2101;4;;97718e35;1.0612883443172905e-06
23_03_21 11:53:02.689;0;I;1210;808;2101;4;;6d7fa835;1.25540611861652e-06
23_03_21 11:53:02.817;0;I;1210;808;2101;4;;f3985936;3.242454795326921e-06
23_03_21 11:53:02.948;0;I;1210;808;2101;4;;6bd449b6;-3.0074977530603064e-06
23_03_21 11:53:03.079;0;I;1210;808;2101;4;;a021ac35;1.2824784789700061e-06
23_03_21 11:53:03.207;0;I;1210;808;2101;4;;a5a08c35;1.0477566547706374e-06
23_03_21 11:53:03.336;0;I;1210;808;2101;4;;de3052b6;-3.1320882953878026e-06
23_03_21 11:53:03.465;0;I;1210;808;2101;4;;971acd34;3.8203572216843895e-07
23_03_21 11:53:03.595;0;I;1210;808;2101;4;;0e0a8535;9.912198493111646e-07
23_03_21 11:53:03.724;0;I;1210;808;2101;4;;39f9a035;1.1993462294412893e-06
23_03_21 11:53:03.855;0;I;1210;808;2101;4;;ef0e8b35;1.0360653277530218e-06
23_03_21 11:53:03.983;0;I;1210;808;2101;4;;c4e89f35;1.1914166861970443e-06
23_03_21 11:53:04.118;0;I;1210;808;2101;4;;056d90b4;-2.6901412297775096e-07
23_03_21 11:53:04.243;0;I;1210;808;2101;4;;5b793eb6;-2.8382844448060496e-06
23_03_21 11:53:04.371;0;I;1210;808;2101;4;;131dffb5;-1.9007442233487382e-06
23_03_21 11:53:04.501;0;I;1210;808;2101;4;;9e0454b6;-3.159314928780077e-06
23_03_21 11:53:04.633;0;I;1210;808;2101;4;;4dcfab35;1.280082528865023e-06
23_03_21 11:53:04.764;0;I;1210;808;2101;4;;b9145d36;3.2943628411885584e-06
23_03_21 11:53:04.891;0;I;1210;808;2101;4;;6a576836;3.462157565081725e-06
23_03_21 11:53:05.021;0;I;1210;808;2101;4;;a4c79b35;1.1606502994254697e-06
23_03_21 11:53:05.151;0;I;1210;808;2101;4;;04396f35;8.911740678740898e-07
23_03_21 11:53:05.280;0;I;1210;808;2101;4;;378b6035;8.364908694602491e-07
23_03_21 11:53:05.409;0;I;1210;808;2101;4;;d000a2b7;-1.93122832570225e-05
23_03_21 11:53:05.539;0;I;1210;808;2101;4;;6c0bd4b6;-6.319422027445398e-06
23_03_21 11:53:05.668;0;I;1210;808;2101;4;;fd3517b6;-2.253217871839297e-06
23_03_21 11:53:05.798;0;I;1210;808;2101;4;;9e665736;3.20972276313114e-06
23_03_21 11:53:05.927;0;I;1210;808;2101;4;;090ef936;7.422412181767868e-06
23_03_21 11:53:06.057;0;I;1210;808;2101;4;;fdfbdf36;6.67525318931439e-06
