Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;msg_id
23_03_21 12:25:54.401;0;I;1210;1;1920;2;;b021;8624
23_03_21 12:26:25.920;140120;I;1210;1;1920;2;;b521;8629
23_03_21 12:27:05.125;140974;I;1210;1;1920;2;;b021;8624
23_03_21 12:27:40.777;141942;I;1210;1;1920;2;;b021;8624
23_03_21 12:28:53.456;142910;I;1210;1;1920;2;;b021;8624
23_03_21 12:29:36.465;144879;I;1210;1;1920;2;;b021;8624
23_03_21 12:30:08.526;146045;I;1210;1;1920;2;;b021;8624
23_03_21 12:30:45.943;146913;I;1210;1;1920;2;;b021;8624
23_03_21 12:31:14.181;147927;I;1210;1;1920;2;;b021;8624
23_03_21 12:31:38.998;148694;I;1210;1;1920;2;;b521;8629
