Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angRate
23_03_21 12:25:30.125;0;I;1210;808;2100;4;;9cc368bc;-0.014206793159246445
23_03_21 12:25:30.245;0;I;1210;808;2100;4;;1e1305bd;-0.03248893469572067
23_03_21 12:25:30.375;0;I;1210;808;2100;4;;5e6b03be;-0.1283392608165741
23_03_21 12:25:30.506;0;I;1210;808;2100;4;;9d28143e;0.14468617737293243
23_03_21 12:25:30.638;0;I;1210;808;2100;4;;16300d3d;0.034469686448574066
23_03_21 12:25:30.769;0;I;1210;808;2100;4;;6d86883b;0.004166415426880121
23_03_21 12:25:30.902;0;I;1210;808;2100;4;;46ab7aba;-0.0009562264895066619
23_03_21 12:25:31.032;0;I;1210;808;2100;4;;5fc098bd;-0.07458566874265671
23_03_21 12:25:31.164;0;I;1210;808;2100;4;;bc142dbb;-0.0026410063728690147
23_03_21 12:25:31.295;0;I;1210;808;2100;4;;011ee1bd;-0.10992050915956497
23_03_21 12:25:31.429;0;I;1210;808;2100;4;;3bf047bb;-0.0030508178751915693
23_03_21 12:25:31.560;0;I;1210;808;2100;4;;6ab958bc;-0.013227799907326698
23_03_21 12:25:31.691;0;I;1210;808;2100;4;;95aa2ebd;-0.04264314845204353
23_03_21 12:25:31.822;0;I;1210;808;2100;4;;4defeb3c;0.028800630941987038
23_03_21 12:25:31.955;0;I;1210;808;2100;4;;9ea0953d;0.07306025922298431
23_03_21 12:25:32.084;0;I;1210;808;2100;4;;bcd69fbc;-0.019511573016643524
23_03_21 12:25:32.217;0;I;1210;808;2100;4;;08a8aabc;-0.02083207666873932
23_03_21 12:25:32.349;0;I;1210;808;2100;4;;a3938a3d;0.06766440719366074
23_03_21 12:25:32.481;0;I;1210;808;2100;4;;7ad0c43d;0.09610076248645782
23_03_21 12:25:32.612;0;I;1210;808;2100;4;;5038b63d;0.08897459506988525
23_03_21 12:25:32.743;0;I;1210;808;2100;4;;66f473bc;-0.014889812096953392
23_03_21 12:25:32.875;0;I;1210;808;2100;4;;287589bc;-0.016779497265815735
23_03_21 12:25:33.008;0;I;1210;808;2100;4;;c8cf5fbc;-0.013660378754138947
23_03_21 12:25:33.139;0;I;1210;808;2100;4;;e630a13d;0.07870654761791229
23_03_21 12:25:33.271;0;I;1210;808;2100;4;;8a0a9dbc;-0.019170064479112625
23_03_21 12:25:33.404;0;I;1210;808;2100;4;;66e19d3d;0.0770900696516037
23_03_21 12:25:33.536;0;I;1210;808;2100;4;;cf515e3b;0.003392327344045043
23_03_21 12:25:33.667;0;I;1210;808;2100;4;;3f29fcbb;-0.007695346605032682
23_03_21 12:25:33.799;0;I;1210;808;2100;4;;54aff7bb;-0.007558742538094521
23_03_21 12:25:33.933;0;I;1210;808;2100;4;;fda61fbc;-0.009744402952492237
23_03_21 12:25:34.065;0;I;1210;808;2100;4;;6ab958bc;-0.013227799907326698
23_03_21 12:25:34.196;0;I;1210;808;2100;4;;302d4abc;-0.012339875102043152
23_03_21 12:25:34.328;0;I;1210;808;2100;4;;918450bc;-0.012726918794214725
23_03_21 12:25:34.461;0;I;1210;808;2100;4;;34ea63bc;-0.013910818845033646
23_03_21 12:25:34.593;0;I;1210;808;2100;4;;56af90bd;-0.07064692676067352
23_03_21 12:25:34.725;0;I;1210;808;2100;4;;50b4d0bc;-0.0254766047000885
23_03_21 12:25:34.856;0;I;1210;808;2100;4;;b19787bc;-0.016551824286580086
23_03_21 12:25:34.987;0;I;1210;808;2100;4;;cd8c923d;0.07155761867761612
23_03_21 12:25:35.120;0;I;1210;808;2100;4;;6011953d;0.07278704643249512
23_03_21 12:25:35.250;0;I;1210;808;2100;4;;6352fbbd;-0.12271573394536972
23_03_21 12:25:35.382;0;I;1210;808;2100;4;;71b771bc;-0.014753208495676517
23_03_21 12:25:35.513;0;I;1210;808;2100;4;;0a5aa03d;0.0782967358827591
23_03_21 12:25:35.645;0;I;1210;808;2100;4;;5b410cbc;-0.008560503832995892
23_03_21 12:25:35.777;0;I;1210;808;2100;4;;25b0a43d;0.08041409403085709
23_03_21 12:25:35.907;0;I;1210;808;2100;4;;6ab958bc;-0.013227799907326698
23_03_21 12:25:36.039;0;I;1210;808;2100;4;;059d6dbc;-0.014502768404781818
23_03_21 12:25:36.168;0;I;1210;808;2100;4;;a9a1a03d;0.07843334227800369
23_03_21 12:25:36.300;0;I;1210;808;2100;4;;097df3bd;-0.11889082938432693
23_03_21 12:25:36.431;0;I;1210;808;2100;4;;45bb10bc;-0.00883371103554964
23_03_21 12:25:36.564;0;I;1210;808;2100;4;;ab4b4bbc;-0.012408177368342876
23_03_21 12:25:36.692;0;I;1210;808;2100;4;;0187a53d;0.08082390576601028
23_03_21 12:25:36.823;0;I;1210;808;2100;4;;910836bc;-0.011110440827906132
23_03_21 12:25:36.956;0;I;1210;808;2100;4;;1c9f9c3d;0.0764753520488739
23_03_21 12:25:37.089;0;I;1210;808;2100;4;;f6c3273d;0.04095836728811264
23_03_21 12:25:37.219;0;I;1210;808;2100;4;;113d983d;0.07433522492647171
23_03_21 12:25:37.350;0;I;1210;808;2100;4;;f4349e3d;0.0772494375705719
23_03_21 12:25:37.481;0;I;1210;808;2100;4;;259503bd;-0.032124657183885574
23_03_21 12:25:37.613;0;I;1210;808;2100;4;;0f2aa9bc;-0.02064993791282177
23_03_21 12:25:37.743;0;I;1210;808;2100;4;;0c65c4bc;-0.023973964154720306
23_03_21 12:25:37.874;0;I;1210;808;2100;4;;aab40fbd;-0.035084404051303864
23_03_21 12:25:38.005;0;I;1210;808;2100;4;;7181afbc;-0.021424027159810066
23_03_21 12:25:38.135;0;I;1210;808;2100;4;;216fa5bc;-0.02019459195435047
23_03_21 12:25:38.265;0;I;1210;808;2100;4;;d65f8dbc;-0.017257612198591232
23_03_21 12:25:38.397;0;I;1210;808;2100;4;;6d02a3bc;-0.019898617640137672
23_03_21 12:25:38.529;0;I;1210;808;2100;4;;bf9beb3d;0.11504315584897995
23_03_21 12:25:38.659;0;I;1210;808;2100;4;;c4cced3c;0.029028303921222687
23_03_21 12:25:38.790;0;I;1210;808;2100;4;;66fcbe3b;0.005828428082168102
23_03_21 12:25:38.921;0;I;1210;808;2100;4;;7849063b;0.002049056813120842
23_03_21 12:25:39.051;0;I;1210;808;2100;4;;abc765bb;-0.0035061638336628675
23_03_21 12:25:39.183;0;I;1210;808;2100;4;;49fc8fbb;-0.00439408840611577
23_03_21 12:25:39.312;0;I;1210;808;2100;4;;5f828bbb;-0.004257484804838896
23_03_21 12:25:39.443;0;I;1210;808;2100;4;;8ebf6bbb;-0.0035972329787909985
23_03_21 12:25:39.573;0;I;1210;808;2100;4;;3da2bdbd;-0.09259460121393204
23_03_21 12:25:39.703;0;I;1210;808;2100;4;;7f7d613d;0.055051323026418686
23_03_21 12:25:39.833;0;I;1210;808;2100;4;;055fe0bc;-0.027389058843255043
23_03_21 12:25:39.964;0;I;1210;808;2100;4;;b554a1bc;-0.019693711772561073
23_03_21 12:25:40.096;0;I;1210;808;2100;4;;22a567bc;-0.014138491824269295
23_03_21 12:25:40.223;0;I;1210;808;2100;4;;fd223abc;-0.01136088091880083
23_03_21 12:25:40.353;0;I;1210;808;2100;4;;ef1672bc;-0.014775975607335567
23_03_21 12:25:40.484;0;I;1210;808;2100;4;;58f076bc;-0.015071950852870941
23_03_21 12:25:40.613;0;I;1210;808;2100;4;;d44c9e3d;0.0772949755191803
23_03_21 12:25:40.744;0;I;1210;808;2100;4;;548180bc;-0.01568666845560074
23_03_21 12:25:40.876;0;I;1210;808;2100;4;;980e9a3d;0.07522314786911011
23_03_21 12:25:41.002;0;I;1210;808;2100;4;;d69d9abc;-0.018874090164899826
23_03_21 12:25:41.135;0;I;1210;808;2100;4;;d95ab4bc;-0.022015975788235664
23_03_21 12:25:41.262;0;I;1210;808;2100;4;;d2fb213d;0.039546795189380646
23_03_21 12:25:41.393;0;I;1210;808;2100;4;;2cf415bd;-0.03660981357097626
23_03_21 12:25:41.521;0;I;1210;808;2100;4;;d27f073e;0.13232353329658508
23_03_21 12:25:41.652;0;I;1210;808;2100;4;;507e0e3d;0.034788429737091064
23_03_21 12:25:41.783;0;I;1210;808;2100;4;;30b12f3c;0.010723397135734558
23_03_21 12:25:41.913;0;I;1210;808;2100;4;;592e1dbe;-0.153497114777565
23_03_21 12:25:42.046;0;I;1210;808;2100;4;;42b89e3c;0.019374970346689224
